gameid,side,teamname,teamid,result,firstblood,team kpm,firstdragon,firstherald,firstbaron,firsttower
10660-10660_game_1,Blue,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,0.0,0.0954,,,,
10660-10660_game_1,Red,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,1.0,0.509,,,,
10660-10660_game_2,Blue,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,0.0,0.0942,,,,
10660-10660_game_2,Red,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,1.0,0.5338,,,,
10660-10660_game_3,Blue,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,1,1.0,0.9517,,,,
10660-10660_game_3,Red,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,0.0,0.136,,,,
10660-10660_game_4,Blue,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,1.0,0.502,,,,
10660-10660_game_4,Red,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,0.0,0.2657,,,,
10661-10661_game_1,Blue,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,1.0,0.6021,,,,
10661-10661_game_1,Red,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,0.0,0.5236,,,,
10661-10661_game_2,Blue,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,1,0.0,0.5898,,,,
10661-10661_game_2,Red,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,1.0,0.2145,,,,
10661-10661_game_3,Blue,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,1.0,0.7514,,,,
10661-10661_game_3,Red,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,0.0,0.2505,,,,
10661-10661_game_4,Blue,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,1,1.0,0.6296,,,,
10661-10661_game_4,Red,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0.0,0.1111,,,,
10661-10661_game_5,Blue,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0.0,0.5482,,,,
10661-10661_game_5,Red,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,1.0,0.3488,,,,
10662-10662_game_1,Blue,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,0.0,0.2215,,,,
10662-10662_game_1,Red,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,0.5908,,,,
10662-10662_game_2,Blue,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,0.0,0.2149,,,,
10662-10662_game_2,Red,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,0.8166,,,,
10662-10662_game_3,Blue,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,0.0,0.5176,,,,
10662-10662_game_3,Red,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,1.0351,,,,
10663-10663_game_1,Blue,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,1.0,0.314,,,,
10663-10663_game_1,Red,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0.0,0.7326,,,,
10663-10663_game_2,Blue,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,0.0,0.1826,,,,
10663-10663_game_2,Red,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,1.0,0.426,,,,
10663-10663_game_3,Blue,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0.0,0.4457,,,,
10663-10663_game_3,Red,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,1.0,0.1371,,,,
10664-10664_game_1,Blue,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0.0,0.3958,,,,
10664-10664_game_1,Red,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,0.5937,,,,
10664-10664_game_2,Blue,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,0.8981,,,,
10664-10664_game_2,Red,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0.0,0.0855,,,,
10664-10664_game_3,Blue,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,1.0,0.3221,,,,
10664-10664_game_3,Red,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,0.0,0.6763,,,,
LOLTMNT06_13630,Blue,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,0,1.0,0.3431,0.0,0.0,0.0,1.0
LOLTMNT06_13630,Red,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,0.0,0.4803,1.0,1.0,1.0,0.0
LOLTMNT06_12701,Blue,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,0.0,0.1154,1.0,0.0,0.0,1.0
LOLTMNT06_12701,Red,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,1.0,0.4615,0.0,1.0,1.0,0.0
LOLTMNT06_13667,Blue,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,0.0,0.2278,1.0,0.0,1.0,1.0
LOLTMNT06_13667,Red,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,1.0,0.5063,0.0,1.0,0.0,0.0
LOLTMNT06_12743,Blue,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,0.0,0.5499,0.0,0.0,0.0,1.0
LOLTMNT06_12743,Red,GiantX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,1.0,0.7332,1.0,1.0,1.0,0.0
LOLTMNT06_13695,Blue,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,1.0,0.6156,1.0,1.0,1.0,1.0
LOLTMNT06_13695,Red,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,0.0,0.0362,0.0,0.0,0.0,0.0
LOLTMNT06_12814,Blue,GiantX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,0.0,0.253,0.0,0.0,1.0,1.0
LOLTMNT06_12814,Red,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,1.0,0.3936,1.0,1.0,0.0,0.0
LOLTMNT06_13803,Blue,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,0,0.0,0.2271,0.0,0.0,0.0,0.0
LOLTMNT06_13803,Red,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,1.0,0.7139,1.0,1.0,1.0,1.0
LOLTMNT06_12845,Blue,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,0.0,0.4675,0.0,1.0,1.0,0.0
LOLTMNT06_12845,Red,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,1.0,0.4364,1.0,0.0,0.0,1.0
LOLTMNT06_13841,Blue,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,1.0,0.4043,0.0,1.0,1.0,1.0
LOLTMNT06_13841,Red,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,0.0,0.1684,1.0,0.0,0.0,0.0
LOLTMNT06_12874,Blue,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,0.0,0.0633,0.0,1.0,0.0,0.0
LOLTMNT06_12874,Red,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,1.0,0.4747,1.0,0.0,1.0,1.0
LOLTMNT02_20319,Blue,DRX Challengers,oe:team:55b3d6b2c940afa4e24978c55dfea27,1,1.0,0.7338,0.0,1.0,1.0,1.0
LOLTMNT02_20319,Red,FearX Youth,oe:team:1c549aec787136db0efdfac47eba51b,0,0.0,0.3145,1.0,0.0,0.0,0.0
LOLTMNT02_19316,Blue,FearX Youth,oe:team:1c549aec787136db0efdfac47eba51b,1,1.0,0.6197,1.0,0.0,0.0,0.0
LOLTMNT02_19316,Red,DRX Challengers,oe:team:55b3d6b2c940afa4e24978c55dfea27,0,0.0,0.2254,0.0,1.0,1.0,1.0
LOLTMNT02_20354,Blue,DRX Challengers,oe:team:55b3d6b2c940afa4e24978c55dfea27,0,1.0,0.4483,0.0,0.0,0.0,0.0
LOLTMNT02_20354,Red,FearX Youth,oe:team:1c549aec787136db0efdfac47eba51b,1,0.0,0.9714,1.0,1.0,1.0,1.0
LOLTMNT03_30769,Blue,ION Global Esports,oe:team:788b5f2d3941c1a0d7961eaf043e4f1,1,1.0,0.6751,1.0,1.0,1.0,1.0
LOLTMNT03_30769,Red,FURY Global,oe:team:6b379ef5d9ba6269ee1ec9e37f54cb7,0,0.0,0.1969,0.0,0.0,0.0,0.0
LOLTMNT02_19357,Blue,Nongshim Esports Academy,oe:team:7c64febcd5ccff13dcd035dc6867a00,1,0.0,0.3766,1.0,1.0,1.0,1.0
LOLTMNT02_19357,Red,Gen.G Global Academy,oe:team:4c9dd0212552afe76315b616b7891f5,0,1.0,0.226,0.0,0.0,0.0,0.0
LOLTMNT03_30778,Blue,ION Global Esports,oe:team:788b5f2d3941c1a0d7961eaf043e4f1,1,1.0,1.232,1.0,1.0,1.0,1.0
LOLTMNT03_30778,Red,FURY Global,oe:team:6b379ef5d9ba6269ee1ec9e37f54cb7,0,0.0,0.2464,0.0,0.0,0.0,0.0
LOLTMNT02_20381,Blue,Gen.G Global Academy,oe:team:4c9dd0212552afe76315b616b7891f5,0,0.0,0.1106,0.0,0.0,0.0,1.0
LOLTMNT02_20381,Red,Nongshim Esports Academy,oe:team:7c64febcd5ccff13dcd035dc6867a00,1,1.0,0.4423,1.0,1.0,1.0,0.0
