gameid,Bluetopgp,Bluetopwr,Bluetopkda,result,Redtopgp,Redtopwr,Redtopkda,Bluejngp,Bluejngwr,Bluejngkda,Redjnggp,Redjngwr,Redjngkda,Bluemidgp,Bluemidwr,Bluemidkda,Redmidgp,Redmidwr,Redmidkda,Bluebotgp,Bluebotwr,Bluebotkda,Redbotgp,Redbotwr,Redbotkda,Bluesupgp,Bluesupwr,Bluesupkda,Redsupgp,Redsupwr,Redsupkda
10941-10941_game_3,1.0,1.0,0.67,1.0,11.0,0.45,0.5,5.0,1.0,3.0,2.0,0.0,0.67,2.0,0.5,1.5,3.0,0.33,0.0,8.0,0.75,0.25,2.0,0.5,5.0,10.0,0.6,0.0,2.0,0.5,0.8
10946-10946_game_2,4.0,0.75,1.5,1.0,1.0,0.0,0.0,7.0,0.86,0.25,6.0,0.5,0.0,4.0,0.75,2.0,9.0,0.67,6.0,7.0,0.43,6.0,5.0,0.6,1.5,2.0,0.5,0.5,3.0,0.67,0.33
10946-10946_game_3,2.0,0.5,1.0,1.0,7.0,0.43,4.0,8.0,0.5,2.0,4.0,0.5,0.5,2.0,1.0,4.0,11.0,0.55,5.0,9.0,0.56,2.0,8.0,0.5,4.0,3.0,0.67,0.75,5.0,0.4,1.0
10941-10941_game_4,10.0,0.7,2.0,0.0,3.0,0.67,0.6,8.0,0.5,0.67,3.0,1.0,3.0,1.0,0.0,0.2,3.0,1.0,5.0,9.0,0.56,0.0,4.0,0.75,4.0,1.0,0.0,2.0,10.0,0.6,0.0
10946-10946_game_4,1.0,0.0,0.4,0.0,17.0,0.65,0.0,2.0,0.5,3.0,2.0,0.5,0.5,5.0,0.2,1.5,9.0,0.56,0.17,12.0,0.42,1.0,9.0,0.56,2.0,1.0,0.0,0.17,3.0,0.67,0.75
10941-10941_game_5,4.0,0.75,2.5,0.0,1.0,1.0,1.0,2.0,0.0,0.67,5.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,6.0,2.0,0.0,0.5,8.0,0.75,0.25,2.0,0.0,0.0,3.0,0.67,0.0
10946-10946_game_5,7.0,0.43,4.0,1.0,2.0,0.5,1.0,4.0,0.25,0.5,3.0,0.67,8.0,6.0,0.83,3.0,9.0,0.67,6.0,12.0,0.42,1.0,9.0,0.56,2.0,10.0,0.8,0.0,8.0,0.38,2.0
LOLTMNT05_27462,5.0,1.0,0.5,1.0,2.0,0.0,0.33,5.0,0.8,0.0,7.0,0.57,2.0,3.0,0.33,1.0,1.0,0.0,1.0,2.0,1.0,6.0,5.0,0.4,1.0,3.0,0.67,0.0,9.0,0.56,0.33
LOLTMNT05_28507,4.0,0.75,1.0,1.0,4.0,0.5,1.0,7.0,0.57,2.0,5.0,0.8,0.0,16.0,0.56,4.0,1.0,0.0,0.75,9.0,0.78,3.0,2.0,0.5,2.0,6.0,0.83,0.0,10.0,0.5,0.0
LOLTMNT05_27471,4.0,0.25,2.0,0.0,7.0,0.57,1.0,4.0,0.5,0.4,3.0,1.0,0.0,3.0,0.33,1.0,1.0,1.0,3.33,6.0,0.5,3.0,9.0,0.78,3.0,6.0,0.33,0.14,9.0,0.44,0.0
LOLTMNT05_27480,3.0,0.33,0.25,0.0,2.0,1.0,2.0,8.0,0.62,1.67,4.0,1.0,0.5,7.0,0.43,0.75,3.0,1.0,2.5,1.0,0.0,0.6,3.0,1.0,13.0,1.0,0.0,0.0,3.0,1.0,1.0
LOLTMNT05_27483,4.0,0.75,3.0,1.0,2.0,0.5,1.33,4.0,1.0,0.5,5.0,0.6,5.0,9.0,0.89,4.0,6.0,0.5,1.67,7.0,0.86,5.0,8.0,0.5,5.0,3.0,1.0,0.0,11.0,0.45,0.25
