gameid,Bluetopgp,Bluetopwr,Bluetopkda,result,Redtopgp,Redtopwr,Redtopkda,Bluejngp,Bluejngwr,Bluejngkda,Redjnggp,Redjngwr,Redjngkda,Bluemidgp,Bluemidwr,Bluemidkda,Redmidgp,Redmidwr,Redmidkda,Bluebotgp,Bluebotwr,Bluebotkda,Redbotgp,Redbotwr,Redbotkda,Bluesupgp,Bluesupwr,Bluesupkda,Redsupgp,Redsupwr,Redsupkda
10660-10660_game_1,8.0,0.38,0.33,0.0,4.0,0.5,4.0,7.0,0.57,0.0,4.0,0.25,1.0,6.0,0.0,0.0,3.0,0.67,4.0,5.0,0.2,0.5,11.0,0.36,7.0,1.0,0.0,0.0,6.0,0.67,0.0
10660-10660_game_2,1.0,0.0,0.67,0.0,5.0,0.6,6.0,4.0,0.5,0.0,3.0,1.0,1.0,5.0,0.2,0.25,3.0,0.67,4.0,10.0,0.6,0.0,8.0,0.38,4.0,2.0,0.5,0.0,6.0,0.5,1.0
10660-10660_game_3,4.0,0.25,2.0,1.0,15.0,0.13,0.0,4.0,0.5,0.0,3.0,0.0,0.0,5.0,0.2,0.25,5.0,0.0,0.4,3.0,0.33,3.0,8.0,0.38,4.0,1.0,1.0,1.0,6.0,0.67,0.0
10660-10660_game_4,4.0,0.5,4.0,1.0,8.0,0.38,0.33,3.0,1.0,1.0,1.0,0.0,0.25,4.0,0.75,0.5,6.0,0.0,0.0,4.0,0.25,4.0,5.0,0.2,0.5,6.0,0.67,0.0,1.0,0.0,1.0
10661-10661_game_1,5.0,0.6,2.0,1.0,15.0,0.67,1.5,11.0,0.45,0.8,15.0,0.53,0.29,10.0,0.9,3.5,3.0,0.0,2.33,15.0,0.73,2.5,13.0,0.77,0.4,10.0,0.5,0.0,5.0,0.4,0.75
10661-10661_game_2,5.0,1.0,8.0,1.0,1.0,0.0,0.33,4.0,0.75,1.0,6.0,0.5,0.2,1.0,1.0,1.5,3.0,0.33,0.5,13.0,0.77,0.4,7.0,0.71,1.0,5.0,0.4,0.75,9.0,0.89,0.0
10661-10661_game_3,6.0,1.0,11.0,1.0,15.0,0.67,1.5,5.0,1.0,2.67,15.0,0.53,0.29,12.0,0.5,2.5,3.0,0.0,2.33,11.0,0.36,3.0,9.0,0.78,0.0,3.0,0.67,0.0,6.0,0.67,0.25
10661-10661_game_4,3.0,0.33,4.0,1.0,5.0,0.6,2.0,2.0,1.0,5.0,2.0,0.5,0.0,8.0,0.62,5.0,12.0,0.5,2.5,13.0,0.77,0.4,11.0,0.36,3.0,9.0,0.89,0.0,4.0,0.25,0.0
10661-10661_game_5,6.0,1.0,11.0,1.0,3.0,0.33,0.5,11.0,0.45,0.8,15.0,0.53,0.29,12.0,0.5,2.5,1.0,0.0,0.29,13.0,0.77,5.0,5.0,0.6,1.5,10.0,0.9,0.33,5.0,0.4,0.75
10662-10662_game_1,5.0,0.2,0.0,0.0,6.0,0.83,4.0,4.0,0.5,1.0,1.0,1.0,2.0,6.0,0.33,0.67,3.0,0.67,4.0,4.0,0.0,0.5,8.0,1.0,5.0,2.0,0.0,0.33,7.0,0.86,0.25
10662-10662_game_2,12.0,0.42,0.0,0.0,9.0,0.78,5.0,1.0,0.0,0.75,8.0,0.88,2.5,1.0,0.0,0.0,5.0,0.6,1.5,6.0,0.17,0.2,4.0,0.5,5.0,6.0,0.33,0.5,4.0,0.5,1.0
10662-10662_game_3,12.0,0.42,0.0,0.0,2.0,1.0,1.0,6.0,0.5,0.6,12.0,0.67,1.0,6.0,0.33,0.67,3.0,0.67,4.0,4.0,0.0,0.5,8.0,1.0,5.0,2.0,0.0,0.33,7.0,0.86,0.25
10663-10663_game_1,15.0,0.13,0.0,0.0,6.0,1.0,11.0,4.0,0.0,0.33,6.0,0.5,0.2,5.0,0.2,0.75,10.0,0.9,3.5,4.0,0.25,4.0,15.0,0.73,2.5,2.0,0.0,0.0,3.0,0.67,0.0
10663-10663_game_2,15.0,0.13,0.0,0.0,6.0,1.0,11.0,1.0,0.0,1.0,6.0,0.5,0.2,5.0,0.0,0.4,3.0,0.33,0.5,11.0,0.36,7.0,1.0,1.0,2.5,7.0,0.43,0.0,2.0,1.0,0.0
10663-10663_game_3,6.0,1.0,11.0,1.0,15.0,0.13,0.0,11.0,0.45,0.8,2.0,0.0,0.5,12.0,0.5,2.5,3.0,0.33,1.0,13.0,0.77,5.0,4.0,0.25,4.0,4.0,0.25,0.0,3.0,0.33,0.0
10664-10664_game_1,1.0,0.0,2.0,0.0,11.0,0.73,5.0,6.0,0.5,0.2,12.0,0.67,1.0,3.0,0.33,0.5,8.0,1.0,0.33,1.0,0.0,0.25,8.0,0.75,1.25,6.0,0.33,0.0,12.0,0.75,1.0
10664-10664_game_2,6.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,5.0,11.0,0.45,0.8,8.0,1.0,9.0,1.0,0.0,0.0,4.0,0.75,5.0,15.0,0.73,2.5,12.0,0.75,1.0,6.0,0.33,0.0
10664-10664_game_3,3.0,0.33,0.5,0.0,2.0,0.5,1.0,11.0,0.45,0.8,8.0,0.88,2.5,12.0,0.5,2.5,3.0,1.0,11.0,13.0,0.77,5.0,4.0,0.75,5.0,4.0,0.25,0.0,12.0,0.75,1.0
LOLTMNT06_13630,7.0,0.57,1.0,0.0,2.0,0.5,1.33,1.0,0.0,1.0,7.0,0.71,4.0,1.0,0.0,0.67,4.0,0.75,2.0,2.0,0.0,1.0,6.0,0.67,2.0,1.0,0.0,0.25,4.0,1.0,0.0
LOLTMNT06_12701,3.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,6.0,0.17,3.0,3.0,0.33,0.2,9.0,0.56,0.5,3.0,0.33,1.5,1.0,1.0,5.0,4.0,0.25,0.0,2.0,0.5,1.0
LOLTMNT06_13667,1.0,0.0,0.0,0.0,17.0,0.59,7.0,1.0,0.0,0.43,8.0,0.62,1.67,4.0,0.25,1.5,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.5,2.0,1.0,0.0,0.2,3.0,0.67,1.0
LOLTMNT06_12743,2.0,0.0,2.0,0.0,4.0,0.5,2.0,10.0,0.7,0.0,6.0,0.5,0.5,3.0,0.33,1.0,2.0,0.5,1.0,3.0,0.33,0.83,2.0,0.5,2.75,3.0,0.67,0.67,2.0,0.5,0.67
LOLTMNT06_13695,4.0,0.5,3.0,1.0,2.0,0.5,0.0,6.0,0.67,6.0,6.0,0.17,0.25,2.0,0.5,5.0,1.0,0.0,0.0,5.0,0.6,2.0,1.0,0.0,0.0,7.0,0.57,1.0,1.0,0.0,0.0
LOLTMNT06_12814,2.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,0.4,1.0,1.0,4.0,2.0,0.5,1.0,8.0,0.62,0.0,3.0,0.33,2.0,10.0,0.5,1.25,3.0,0.0,0.0,3.0,0.33,0.33
LOLTMNT06_13803,1.0,0.0,0.67,0.0,9.0,0.56,3.0,6.0,0.67,6.0,9.0,0.56,1.0,2.0,0.5,0.0,1.0,1.0,1.5,1.0,0.0,0.8,5.0,0.8,11.0,1.0,0.0,0.0,7.0,0.57,1.0
LOLTMNT06_12845,2.0,1.0,2.0,1.0,1.0,0.0,0.0,4.0,0.75,3.5,4.0,0.25,0.8,5.0,1.0,1.5,3.0,0.33,0.75,6.0,0.67,2.0,2.0,0.0,1.0,8.0,0.75,0.33,1.0,0.0,1.0
LOLTMNT06_13841,17.0,0.59,7.0,1.0,2.0,0.0,2.0,6.0,0.33,0.0,2.0,0.0,0.67,13.0,0.54,6.0,1.0,0.0,2.0,14.0,0.71,2.5,1.0,0.0,0.25,7.0,0.86,0.0,1.0,0.0,0.0
LOLTMNT06_12874,3.0,0.0,0.0,0.0,10.0,0.5,2.0,2.0,0.0,0.25,5.0,0.6,2.0,3.0,0.33,0.0,3.0,0.67,3.0,5.0,0.2,0.0,11.0,0.36,8.0,1.0,0.0,0.0,3.0,0.67,0.0
LOLTMNT02_20319,1.0,1.0,2.0,1.0,10.0,0.4,0.0,8.0,0.38,0.5,3.0,0.33,0.2,11.0,0.55,8.0,11.0,0.55,1.5,8.0,0.62,3.0,2.0,0.0,0.0,4.0,0.5,1.5,1.0,0.0,1.0
LOLTMNT02_19316,7.0,0.29,0.67,1.0,11.0,0.55,0.4,10.0,0.6,4.0,8.0,0.38,0.5,4.0,0.5,3.0,5.0,0.0,0.67,4.0,0.5,4.0,4.0,0.25,0.17,5.0,0.4,1.0,4.0,0.5,1.5
LOLTMNT02_20354,12.0,0.58,1.25,0.0,2.0,1.0,6.0,4.0,0.5,0.25,6.0,0.33,9.0,11.0,0.55,8.0,11.0,0.55,1.5,3.0,0.0,0.4,8.0,0.62,0.5,3.0,0.0,0.0,7.0,0.43,1.0
LOLTMNT03_30769,2.0,0.5,2.5,1.0,4.0,0.5,0.67,4.0,1.0,6.0,1.0,0.0,0.67,2.0,1.0,4.5,1.0,0.0,0.25,2.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
LOLTMNT02_19357,3.0,1.0,1.0,1.0,12.0,0.33,1.0,1.0,1.0,0.0,4.0,0.25,0.33,14.0,0.57,2.0,2.0,0.5,1.0,9.0,0.44,4.0,3.0,0.0,1.0,8.0,0.5,0.0,2.0,0.0,0.0
LOLTMNT03_30778,6.0,0.17,3.5,1.0,2.0,0.0,0.33,4.0,1.0,6.0,4.0,0.5,0.25,3.0,0.33,3.0,6.0,0.17,0.2,2.0,1.0,3.0,4.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.33
LOLTMNT02_20381,2.0,0.5,0.2,0.0,3.0,1.0,1.0,3.0,0.33,0.0,6.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,4.0,10.0,0.2,1.0,11.0,0.55,5.0,2.0,0.0,0.0,2.0,1.0,0.0
LOLTMNT03_29854,1.0,1.0,5.0,1.0,1.0,0.0,0.57,2.0,0.5,5.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.2,5.0,0.6,4.0,1.0,0.0,0.6,5.0,0.8,0.25,1.0,0.0,0.17
LOLTMNT03_29858,1.0,0.0,1.6,0.0,7.0,0.86,4.0,1.0,0.0,0.33,3.0,1.0,1.67,5.0,0.2,0.67,5.0,0.6,2.0,4.0,0.75,5.0,5.0,0.6,4.0,1.0,0.0,0.0,2.0,1.0,0.25
LOLTMNT02_19363,14.0,0.71,0.33,1.0,3.0,0.33,1.5,11.0,0.82,1.33,6.0,0.67,0.2,2.0,0.5,5.0,1.0,0.0,0.0,15.0,0.6,2.0,4.0,0.0,1.67,8.0,0.75,1.5,5.0,0.2,0.0
LOLTMNT02_20412,2.0,0.5,0.0,0.0,16.0,0.62,3.0,6.0,0.33,0.0,8.0,0.38,1.5,3.0,0.0,0.25,1.0,1.0,2.0,3.0,0.67,0.0,2.0,1.0,5.0,2.0,0.0,0.33,2.0,0.5,1.0
LOLTMNT06_13896,3.0,0.33,2.0,0.0,2.0,1.0,3.0,1.0,0.0,0.17,14.0,0.71,1.5,7.0,0.57,0.6,16.0,0.56,4.0,9.0,0.44,0.4,3.0,1.0,4.0,10.0,0.5,0.0,1.0,1.0,2.0
LOLTMNT06_13904,2.0,0.5,0.0,0.0,3.0,0.33,1.0,1.0,0.0,0.25,4.0,0.25,2.0,4.0,0.75,2.0,3.0,0.33,0.0,6.0,0.67,2.0,3.0,0.33,1.5,3.0,0.33,0.33,4.0,0.25,0.0
LOLTMNT06_12924,3.0,0.67,1.5,1.0,4.0,0.5,2.0,5.0,0.6,2.0,8.0,0.0,1.0,3.0,0.67,3.0,6.0,0.17,0.25,11.0,0.36,8.0,2.0,0.5,0.0,3.0,0.67,0.0,7.0,0.43,0.0
LOLTMNT06_13954,1.0,0.0,0.2,0.0,3.0,1.0,0.83,3.0,0.33,0.67,3.0,1.0,0.0,4.0,0.25,1.5,4.0,0.25,1.0,1.0,0.0,2.0,5.0,0.6,2.0,1.0,0.0,0.5,7.0,0.57,1.0
LOLTMNT06_12963,2.0,0.5,5.0,1.0,2.0,0.0,0.0,9.0,0.56,1.0,3.0,0.33,1.0,3.0,0.67,5.0,13.0,0.54,6.0,4.0,0.5,5.0,7.0,0.57,1.0,7.0,0.57,1.0,5.0,0.6,0.25
LOLTMNT03_31006,2.0,1.0,1.0,1.0,2.0,0.0,2.5,5.0,0.8,2.5,1.0,0.0,0.33,1.0,1.0,8.0,3.0,0.33,1.0,6.0,0.67,1.0,4.0,0.25,0.29,5.0,0.4,1.0,1.0,0.0,0.12
LOLTMNT03_31018,2.0,1.0,1.0,1.0,2.0,0.0,2.5,5.0,0.8,2.5,1.0,0.0,0.0,3.0,0.67,7.0,3.0,0.33,1.0,2.0,1.0,1.0,3.0,0.0,0.4,5.0,0.4,1.0,3.0,0.33,0.2
LOLTMNT02_19707,21.0,0.62,1.75,1.0,2.0,0.5,0.8,5.0,0.4,0.4,12.0,0.83,0.67,14.0,0.71,1.67,3.0,0.33,1.25,1.0,1.0,1.5,9.0,0.56,5.0,3.0,1.0,0.5,10.0,0.8,0.0
LOLTMNT02_19725,7.0,0.86,5.0,1.0,21.0,0.62,1.75,1.0,1.0,0.0,4.0,0.5,0.5,9.0,0.56,3.0,2.0,0.0,1.0,4.0,0.75,1.0,13.0,0.85,0.5,10.0,0.8,0.0,1.0,0.0,0.0
LOLTMNT02_19742,21.0,0.62,1.75,1.0,7.0,0.86,5.0,1.0,1.0,3.0,4.0,0.0,0.33,14.0,0.71,1.67,6.0,0.5,0.5,13.0,0.85,0.5,19.0,0.68,1.5,15.0,0.67,1.0,12.0,0.5,0.0
LOLTMNT02_19822,6.0,0.5,1.0,0.0,10.0,0.2,0.0,5.0,0.2,0.0,9.0,0.67,3.0,13.0,0.62,0.5,13.0,0.38,0.5,5.0,0.2,0.0,2.0,1.0,3.0,9.0,0.56,0.25,7.0,0.71,4.0
LOLTMNT02_20920,6.0,0.5,1.0,1.0,10.0,0.2,0.0,5.0,0.2,0.0,9.0,0.67,3.0,13.0,0.62,0.5,5.0,0.6,0.83,4.0,0.25,1.67,2.0,0.0,7.0,2.0,0.5,0.17,2.0,0.0,0.5
LOLTMNT02_19905,10.0,0.2,0.0,0.0,9.0,0.67,0.0,3.0,0.0,0.33,3.0,0.67,1.5,5.0,0.6,0.83,7.0,0.43,0.5,3.0,0.0,5.0,4.0,0.5,0.75,2.0,0.0,1.5,9.0,0.56,0.25
LOLTMNT04_19084,1.0,0.0,0.25,0.0,3.0,0.33,2.0,3.0,0.0,0.25,3.0,0.33,1.0,3.0,0.0,0.0,4.0,0.5,6.0,2.0,0.0,0.5,2.0,0.5,2.5,2.0,0.0,0.0,1.0,1.0,1.0
LOLTMNT01_32044,6.0,0.5,0.0,1.0,2.0,0.0,0.0,2.0,0.5,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.75,8.0,1.0,0.0,0.0,4.0,0.5,2.0,1.0,0.0,0.0
LOLTMNT01_31121,8.0,0.75,1.33,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5,1.5,3.0,1.0,7.0,2.0,0.0,2.5,5.0,0.6,1.0,3.0,0.0,0.67,4.0,1.0,0.0,1.0,0.0,0.0
LOLTMNT01_31134,4.0,0.75,4.0,1.0,1.0,0.0,0.0,9.0,0.78,2.0,3.0,0.33,0.0,2.0,1.0,1.0,2.0,0.0,0.5,5.0,0.4,4.0,4.0,0.25,0.5,2.0,1.0,0.0,1.0,0.0,0.67
LOLTMNT03_32083,6.0,0.5,0.33,0.0,5.0,0.8,6.0,3.0,0.33,0.33,1.0,1.0,1.0,1.0,0.0,0.5,2.0,1.0,2.5,2.0,0.5,0.33,4.0,1.0,3.5,1.0,0.0,0.0,3.0,1.0,1.0
LOLTMNT03_31152,6.0,0.5,0.33,0.0,4.0,1.0,1.0,2.0,0.0,0.17,6.0,0.83,5.0,1.0,0.0,0.0,2.0,1.0,1.0,7.0,0.71,0.75,7.0,0.86,11.0,7.0,0.71,0.0,5.0,1.0,4.0
LOLTMNT03_31162,2.0,0.0,0.6,0.0,11.0,0.45,2.0,5.0,0.2,0.0,4.0,0.75,1.0,6.0,0.5,0.33,6.0,0.83,2.0,3.0,0.0,0.4,2.0,0.5,7.0,4.0,0.0,0.0,4.0,0.25,2.0
LOLTMNT03_32104,11.0,0.45,2.0,1.0,3.0,0.0,0.33,1.0,1.0,2.0,1.0,0.0,0.67,4.0,0.5,5.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0
LOLTMNT02_22165,3.0,0.0,0.0,0.0,2.0,1.0,0.5,5.0,0.0,1.5,1.0,1.0,0.33,7.0,0.14,0.67,10.0,0.2,0.75,7.0,0.14,1.25,5.0,0.4,4.0,5.0,0.2,1.0,7.0,0.29,0.0
LOLTMNT02_21206,6.0,0.17,0.67,0.0,13.0,0.38,2.0,8.0,0.5,0.0,8.0,0.5,3.0,5.0,0.2,0.0,11.0,0.36,3.0,7.0,0.14,1.25,5.0,0.4,4.0,5.0,0.2,1.0,7.0,0.29,0.0
LOLTMNT02_22225,14.0,0.93,0.5,0.0,2.0,0.5,1.5,12.0,0.83,0.0,4.0,0.75,2.0,9.0,0.78,2.0,3.0,1.0,0.33,12.0,0.75,0.5,12.0,0.75,0.0,7.0,0.57,0.0,3.0,0.67,0.0
LOLTMNT02_21273,1.0,0.0,0.5,0.0,14.0,0.93,0.5,7.0,0.29,0.25,6.0,0.67,1.0,10.0,0.5,0.0,4.0,0.75,4.0,1.0,0.0,2.0,9.0,0.78,2.5,1.0,0.0,0.67,2.0,1.0,0.0
LOLTMNT02_21295,1.0,0.0,0.4,0.0,8.0,0.88,0.33,1.0,0.0,0.29,6.0,0.67,1.0,10.0,0.5,0.0,3.0,1.0,3.5,1.0,0.0,0.75,9.0,0.78,2.5,2.0,0.0,0.0,2.0,1.0,0.0
LOLTMNT02_21435,6.0,0.5,1.0,0.0,3.0,0.67,1.33,9.0,0.33,0.4,3.0,0.67,1.0,6.0,0.67,3.0,2.0,0.5,1.5,13.0,0.69,1.5,2.0,0.5,0.67,2.0,0.0,2.0,1.0,1.0,0.0
LOLTMNT02_22425,2.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,1.25,6.0,0.5,3.0,2.0,0.0,0.5,4.0,0.75,1.33,2.0,0.0,0.83,4.0,0.75,1.25,1.0,0.0,0.2,3.0,0.67,1.0
LOLTMNT04_19106,1.0,0.0,0.2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,0.75,0.5,2.0,1.0,7.0,2.0,0.0,0.67,3.0,1.0,3.0,1.0,0.0,0.2,4.0,0.75,8.0
LOLTMNT01_32292,2.0,0.0,1.0,0.0,1.0,1.0,0.67,1.0,0.0,0.17,2.0,0.5,2.0,2.0,0.5,3.0,1.0,1.0,7.0,1.0,0.0,0.0,5.0,0.2,8.0,1.0,0.0,0.2,1.0,1.0,1.0
LOLTMNT04_19119,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,4.0,1.0,0.0,1.0,0.0,0.4,1.0,1.0,1.5,2.0,0.0,0.0,3.0,0.67,6.0,1.0,0.0,0.0,2.0,0.5,3.0
LOLTMNT02_21487,4.0,0.5,4.0,1.0,3.0,0.33,0.17,4.0,0.75,8.0,1.0,0.0,0.0,3.0,0.67,1.5,6.0,0.33,0.33,3.0,1.0,5.0,4.0,0.5,3.0,3.0,0.67,0.0,1.0,0.0,0.0
LOLTMNT05_12117,3.0,0.67,2.5,1.0,9.0,0.67,0.75,1.0,1.0,1.0,1.0,0.0,0.25,5.0,0.4,1.75,3.0,0.33,1.0,2.0,1.0,11.0,6.0,0.5,0.5,3.0,0.67,1.0,6.0,0.83,0.3
LOLTMNT01_31354,8.0,0.75,1.33,1.0,1.0,0.0,2.0,4.0,0.5,1.0,6.0,0.67,0.25,2.0,1.0,1.0,8.0,0.62,0.5,5.0,0.8,4.0,2.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0
LOLTMNT02_21514,1.0,1.0,0.4,1.0,8.0,0.62,5.0,2.0,0.5,7.0,1.0,0.0,0.0,2.0,1.0,4.0,3.0,0.33,0.33,4.0,1.0,1.33,1.0,0.0,0.5,2.0,1.0,1.0,1.0,0.0,0.14
LOLTMNT04_18202,3.0,0.67,0.5,1.0,3.0,0.67,0.67,1.0,1.0,1.0,2.0,0.0,0.67,2.0,0.5,2.0,5.0,0.8,0.5,3.0,0.33,4.0,1.0,0.0,0.0,2.0,0.5,2.0,1.0,0.0,0.5
LOLTMNT05_11139,4.0,0.5,0.0,0.0,9.0,0.56,3.0,4.0,0.25,0.5,7.0,0.43,0.0,1.0,0.0,2.67,12.0,0.83,6.0,1.0,0.0,1.33,3.0,0.67,0.83,1.0,0.0,0.0,2.0,0.5,0.0
LOLTMNT04_18208,3.0,0.33,3.0,1.0,2.0,0.0,0.5,1.0,1.0,2.5,4.0,0.75,1.33,3.0,0.33,0.67,2.0,0.0,0.2,4.0,0.75,8.0,1.0,0.0,0.75,1.0,1.0,0.33,1.0,0.0,0.0
LOLTMNT02_22535,11.0,0.91,0.0,1.0,1.0,0.0,1.0,8.0,0.88,0.0,2.0,0.5,1.0,2.0,0.5,2.0,7.0,0.43,2.0,1.0,1.0,4.0,2.0,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.0
LOLTMNT04_19139,1.0,0.0,0.4,0.0,5.0,0.6,1.5,2.0,0.0,0.4,2.0,0.5,1.0,4.0,0.5,1.33,1.0,1.0,12.0,1.0,0.0,0.5,5.0,0.6,1.67,3.0,0.0,0.2,10.0,0.7,0.25
LOLTMNT05_11152,3.0,0.0,0.67,0.0,4.0,0.5,1.0,6.0,0.0,1.0,1.0,1.0,0.67,2.0,0.0,0.25,2.0,0.5,0.8,1.0,0.0,4.0,2.0,0.5,8.0,1.0,0.0,0.4,3.0,0.67,0.0
LOLTMNT04_19142,3.0,0.33,2.0,0.0,2.0,0.5,2.5,5.0,0.4,1.0,3.0,0.67,1.67,1.0,0.0,1.4,1.0,1.0,1.0,3.0,0.67,0.5,2.0,0.5,1.0,1.0,0.0,0.33,2.0,0.5,0.0
LOLTMNT02_21552,2.0,0.5,0.8,0.0,1.0,1.0,1.0,2.0,0.0,2.67,5.0,1.0,0.67,1.0,0.0,1.25,4.0,0.75,1.75,1.0,0.0,0.33,6.0,0.83,1.25,1.0,0.0,0.33,4.0,0.5,0.0
LOLTMNT04_18219,3.0,0.0,1.0,0.0,1.0,1.0,7.0,1.0,0.0,0.4,1.0,1.0,1.25,3.0,0.0,0.5,3.0,0.33,4.0,1.0,0.0,0.75,3.0,1.0,1.67,7.0,0.29,0.0,1.0,1.0,0.0
LOLTMNT05_12149,5.0,0.4,0.0,0.0,1.0,1.0,5.0,2.0,0.5,0.33,3.0,0.67,1.0,3.0,0.0,0.67,5.0,0.6,2.0,1.0,0.0,1.0,3.0,0.67,4.0,2.0,0.0,0.0,1.0,1.0,0.0
LOLTMNT03_32323,7.0,0.71,1.0,1.0,2.0,0.0,2.0,4.0,0.75,1.0,2.0,0.0,0.25,2.0,1.0,4.33,2.0,0.0,0.33,5.0,0.6,1.0,10.0,0.4,0.0,4.0,0.75,1.0,8.0,0.12,0.0
LOLTMNT03_31400,6.0,0.67,1.0,1.0,2.0,0.5,3.0,4.0,0.75,1.0,3.0,0.33,0.6,5.0,0.6,1.25,8.0,0.5,0.67,2.0,1.0,4.5,5.0,0.2,0.4,2.0,1.0,0.25,5.0,0.2,0.2
LOLTMNT03_32335,10.0,0.4,0.5,0.0,9.0,0.78,2.5,2.0,0.5,0.75,4.0,1.0,4.0,3.0,0.0,0.2,1.0,1.0,1.5,3.0,0.33,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0
LOLTMNT03_32337,3.0,1.0,4.0,1.0,10.0,0.4,0.5,3.0,0.33,0.33,3.0,0.33,1.0,2.0,0.5,1.67,6.0,0.17,0.25,7.0,0.71,5.0,1.0,0.0,0.17,3.0,0.67,2.0,3.0,0.33,0.0
LOLTMNT02_21624,2.0,0.5,4.0,1.0,11.0,0.36,0.25,9.0,0.22,0.5,1.0,0.0,0.25,2.0,1.0,5.0,4.0,0.5,3.0,2.0,0.5,6.0,2.0,0.0,0.33,2.0,0.5,0.0,7.0,0.43,0.0
LOLTMNT02_22621,25.0,0.56,1.0,0.0,5.0,0.6,0.5,4.0,0.5,0.0,8.0,0.38,1.5,3.0,0.33,1.0,1.0,1.0,5.0,11.0,0.55,5.0,15.0,0.6,2.0,2.0,0.5,0.0,3.0,0.67,1.0
LOLTMNT02_21623,6.0,0.0,0.0,0.0,11.0,0.55,0.4,12.0,0.08,0.2,15.0,0.6,0.0,4.0,0.5,1.0,7.0,0.86,2.0,4.0,0.0,2.5,4.0,0.5,1.0,4.0,0.0,0.0,7.0,0.86,2.0
LOLTMNT02_22632,11.0,0.36,0.25,0.0,2.0,0.5,0.0,6.0,0.33,0.0,2.0,0.5,1.25,11.0,0.55,1.5,3.0,0.67,4.5,4.0,0.5,4.0,1.0,1.0,15.0,7.0,0.43,1.0,2.0,0.5,0.0
LOLTMNT02_22633,12.0,0.33,1.0,1.0,2.0,0.5,0.5,4.0,0.25,0.33,8.0,0.38,0.5,1.0,1.0,10.0,5.0,0.0,0.67,7.0,0.43,0.5,1.0,0.0,0.67,1.0,1.0,0.25,1.0,0.0,0.0
LOLTMNT02_21639,10.0,0.7,2.0,1.0,3.0,0.0,0.25,4.0,0.5,1.5,8.0,0.38,1.5,3.0,0.33,1.0,2.0,0.0,0.0,8.0,0.62,3.5,15.0,0.6,2.0,13.0,0.46,0.0,3.0,0.67,1.0
LOLTMNT02_22648,16.0,0.62,3.0,0.0,6.0,0.33,1.0,8.0,0.38,1.5,6.0,0.5,1.0,2.0,0.5,5.0,12.0,0.58,4.0,15.0,0.6,2.0,8.0,0.62,3.5,2.0,0.5,1.0,13.0,0.46,0.0
LOLTMNT02_21656,11.0,0.55,0.4,1.0,6.0,0.0,0.0,15.0,0.6,0.0,2.0,0.0,0.4,7.0,0.86,2.0,4.0,0.0,0.25,4.0,0.5,1.0,3.0,0.0,1.0,2.0,1.0,11.0,2.0,0.0,0.0
LOLTMNT02_21688,3.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,0.0,0.5,12.0,0.42,1.0,15.0,0.2,0.33,1.0,1.0,2.0,4.0,0.25,0.25,7.0,0.57,9.0,6.0,0.5,0.0,9.0,0.67,3.0
LOLTMNT02_21701,3.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,0.57,2.0,12.0,0.42,1.0,15.0,0.2,0.33,3.0,1.0,4.0,2.0,0.0,1.0,7.0,0.57,9.0,3.0,0.0,0.0,9.0,0.67,3.0
LOLTMNT02_22739,8.0,0.62,2.0,1.0,3.0,0.33,0.25,11.0,0.64,1.0,5.0,0.6,1.0,11.0,0.64,0.0,12.0,0.25,3.0,1.0,1.0,3.0,13.0,0.46,0.75,3.0,0.67,2.0,4.0,0.0,0.25
LOLTMNT02_22767,8.0,0.25,0.2,0.0,15.0,0.73,4.0,3.0,0.33,0.8,7.0,0.57,5.0,1.0,0.0,0.25,12.0,0.67,2.33,1.0,0.0,0.33,8.0,0.62,2.33,4.0,0.0,0.25,3.0,0.67,2.0
LOLTMNT02_22940,4.0,0.75,3.0,1.0,4.0,0.0,0.0,2.0,0.5,2.0,1.0,0.0,0.67,2.0,1.0,3.5,1.0,0.0,0.75,2.0,0.5,5.0,3.0,0.0,0.33,7.0,0.43,0.0,1.0,0.0,0.0
