gameid,Bluetopgp,Bluetopwr,Bluetopkda10,Bluetopkda15,Bluetopgolddiffat10,Bluetopgolddiffat15,Redtopgp,Redtopwr,Redtopkda10,Redtopkda15,Redtopgolddiffat10,Redtopgolddiffat15,Bluejnggp,Bluejngwr,Bluejngkda10,Bluejngkda15,Bluejnggolddiffat10,Bluejnggolddiffat15,Redjnggp,Redjngwr,Redjngkda10,Redjngkda15,Redjnggolddiffat10,Redjnggolddiffat15,Bluemidgp,Bluemidwr,Bluemidkda10,Bluemidkda15,Bluemidgolddiffat10,Bluemidgolddiffat15,Redmidgp,Redmidwr,Redmidkda10,Redmidkda15,Redmidgolddiffat10,Redmidgolddiffat15,Bluebotgp,Bluebotwr,Bluebotkda10,Bluebotkda15,Bluebotgolddiffat10,Bluebotgolddiffat15,Redbotgp,Redbotwr,Redbotkda10,Redbotkda15,Redbotgolddiffat10,Redbotgolddiffat15,Bluesupgp,Bluesupwr,Bluesupkda10,Bluesupkda15,Bluesupgolddiffat10,Bluesupgolddiffat15,Redsupgp,Redsupwr,Redsupkda10,Redsupkda15,Redsupgolddiffat10,Redsupgolddiffat15,firsttower,firstblood,firstherald,firstbaron,firstdragon,result
LOLTMNT02_57594,10.0,0.6,0.0,1.17,-200.0,-5.2,2.0,0.0,0.0,0.25,125.0,138.0,8.0,0.25,0.33,0.41,-99.75,-93.25,6.0,0.0,0.33,0.29,-89.67,-370.83,7.0,0.29,0.14,1.0,-68.43,-338.29,15.0,0.2,0.07,0.73,-90.13,-284.0,3.0,0.67,0.25,2.08,-278.33,21.67,7.0,0.29,0.29,1.86,-99.0,-531.29,3.0,0.33,0.0,0.06,-629.67,-896.67,13.0,0.38,0.15,0.18,-149.69,-230.92,0.0,0.0,1.0,1.0,1.0,1.0
10810-10810_game_2,8.0,0.38,,0.95,,,5.0,0.8,,1.74,,,3.0,0.33,,0.5,,,6.0,0.5,,0.3,,,2.0,0.5,,2.33,,,7.0,0.43,,0.7,,,4.0,0.5,,0.92,,,3.0,0.0,,1.2,,,7.0,0.29,,0.3,,,3.0,0.67,,0.0,,,,1.0,,,,1.0
LOLTMNT02_56636,7.0,0.86,0.0,1.78,-138.71,36.43,1.0,0.0,0.0,0.25,50.0,-60.0,5.0,0.8,0.33,0.57,-131.8,-332.0,1.0,0.0,1.0,1.5,247.0,512.0,4.0,1.0,0.25,2.78,-25.5,248.0,5.0,0.2,0.6,0.55,1.8,-309.0,6.0,1.0,1.67,4.67,760.83,1094.5,2.0,0.5,0.5,1.0,-368.5,-742.0,2.0,1.0,0.33,0.75,60.0,380.5,1.0,0.0,0.0,0.0,-143.0,-747.0,1.0,0.0,1.0,1.0,0.0,1.0
LOLTMNT02_57610,6.0,0.0,0.17,0.44,-272.83,-873.0,21.0,0.62,0.29,1.54,25.62,119.05,2.0,0.0,0.0,0.11,-171.5,-536.0,12.0,0.58,0.83,1.37,132.83,301.0,3.0,0.0,0.67,1.0,-71.0,-363.0,14.0,0.71,0.36,1.96,73.07,-60.79,8.0,0.12,0.5,1.73,138.62,326.25,13.0,0.85,0.62,2.9,-108.77,-337.15,3.0,0.0,0.0,0.0,-134.0,-183.67,4.0,1.0,0.0,0.33,96.25,17.0,0.0,0.0,0.0,0.0,0.0,0.0
10811-10811_game_1,5.0,0.6,,0.95,,,6.0,0.33,,0.5,,,1.0,1.0,,5.0,,,5.0,0.2,,0.71,,,6.0,0.17,,0.83,,,2.0,0.0,,0.25,,,9.0,0.78,,1.67,,,8.0,0.75,,2.81,,,6.0,0.5,,0.25,,,1.0,0.0,,0.33,,,,1.0,,,,1.0
LOLTMNT02_56660,13.0,0.23,0.36,0.87,-81.85,-180.08,10.0,0.6,0.0,1.17,-200.0,-5.2,7.0,0.57,0.29,0.56,91.29,170.71,8.0,0.25,0.33,0.41,-99.75,-93.25,15.0,0.2,0.07,0.73,-90.13,-284.0,7.0,0.29,0.14,1.0,-68.43,-338.29,4.0,0.5,0.0,0.89,-315.75,-470.5,4.0,0.25,0.25,1.0,148.25,264.0,7.0,0.43,0.0,0.25,-307.71,-471.29,3.0,0.0,0.0,0.17,4.0,-40.67,0.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT02_57619,5.0,0.0,0.2,0.28,-356.2,-576.8,21.0,0.62,0.29,1.54,25.62,119.05,1.0,0.0,1.0,0.33,476.0,184.0,4.0,0.5,0.25,0.5,302.5,457.75,2.0,0.0,0.5,0.6,343.0,-31.0,2.0,1.0,0.0,3.5,-103.5,566.5,8.0,0.12,0.5,1.73,138.62,326.25,3.0,0.33,0.33,2.4,-479.67,-207.67,3.0,0.0,0.0,0.0,-134.0,-183.67,2.0,0.5,0.0,0.25,-208.5,-353.0,0.0,0.0,0.0,0.0,0.0,0.0
10811-10811_game_2,4.0,0.75,,2.71,,,4.0,0.0,,0.3,,,4.0,0.75,,0.92,,,5.0,0.6,,0.23,,,6.0,0.67,,1.4,,,6.0,0.67,,4.57,,,4.0,0.75,,5.0,,,5.0,0.4,,1.26,,,2.0,1.0,,0.67,,,2.0,0.5,,0.25,,,,1.0,,,,1.0
LOLTMNT02_57620,9.0,0.67,0.44,1.05,-140.78,-76.78,3.0,0.67,0.33,0.54,247.33,551.0,8.0,0.75,0.25,0.33,-314.75,-549.38,3.0,0.67,0.33,0.67,-100.33,-50.67,10.0,0.8,0.4,4.25,63.4,593.3,1.0,0.0,0.0,0.0,-70.0,-766.0,4.0,1.0,0.25,6.57,44.75,-0.75,1.0,0.0,0.0,0.0,522.0,803.0,5.0,0.6,0.57,0.64,447.2,630.8,5.0,0.4,0.57,0.38,227.0,110.4,0.0,0.0,0.0,1.0,0.0,1.0
10777-10777_game_1,15.0,0.67,,1.62,,,18.0,0.5,,0.84,,,6.0,0.83,,0.63,,,2.0,0.5,,3.0,,,8.0,0.62,,2.75,,,6.0,0.5,,0.92,,,9.0,0.78,,1.29,,,1.0,0.0,,0.5,,,6.0,0.67,,0.85,,,6.0,0.67,,0.2,,,,0.0,,,,1.0
10811-10811_game_3,5.0,0.6,,1.38,,,2.0,0.5,,0.71,,,1.0,1.0,,4.0,,,2.0,0.0,,0.17,,,7.0,0.43,,0.68,,,6.0,0.5,,1.12,,,11.0,0.55,,1.44,,,3.0,0.33,,1.57,,,7.0,0.57,,0.13,,,2.0,0.0,,0.33,,,,0.0,,,,1.0
LOLTMNT02_57643,4.0,0.5,0.0,0.67,-113.5,-435.5,3.0,0.67,0.25,0.78,286.0,669.67,4.0,1.0,0.5,1.25,525.0,840.5,8.0,0.75,0.25,0.33,-314.75,-549.38,3.0,1.0,0.33,1.4,-8.33,-351.67,10.0,0.8,0.4,4.25,63.4,593.3,5.0,0.8,0.2,3.7,-157.8,-644.6,1.0,0.0,0.0,0.67,-767.0,-485.0,5.0,1.0,0.67,0.44,-23.0,-4.2,1.0,0.0,0.0,0.0,-465.0,-413.0,1.0,1.0,1.0,1.0,0.0,1.0
LOLTMNT02_56694,14.0,0.43,0.21,1.17,-134.29,-45.86,16.0,0.44,0.44,1.24,-149.25,-174.62,14.0,0.5,0.2,0.32,-236.86,-269.0,1.0,1.0,0.0,2.0,134.0,806.0,1.0,0.0,1.0,0.67,143.0,-158.0,5.0,0.6,0.4,1.07,18.0,99.6,7.0,0.29,0.5,0.73,313.14,386.0,4.0,0.5,0.75,2.62,450.75,958.75,2.0,0.0,0.0,0.12,-275.5,-633.0,3.0,0.67,0.33,0.83,10.67,164.33,0.0,0.0,0.0,0.0,0.0,0.0
10777-10777_game_2,3.0,0.67,,1.25,,,3.0,0.33,,1.4,,,8.0,0.62,,1.58,,,15.0,0.53,,1.02,,,1.0,1.0,,3.0,,,8.0,0.62,,2.75,,,10.0,0.7,,0.83,,,2.0,0.5,,2.0,,,4.0,0.75,,0.23,,,5.0,0.8,,0.26,,,,1.0,,,,1.0
10812-10812_game_1,10.0,0.7,,3.0,,,4.0,0.5,,1.5,,,10.0,0.6,,0.48,,,4.0,0.75,,0.5,,,5.0,0.4,,0.62,,,4.0,0.75,,2.67,,,7.0,0.57,,1.14,,,3.0,0.33,,1.57,,,1.0,0.0,,0.67,,,3.0,0.67,,0.12,,,,1.0,,,,0.0
LOLTMNT02_56710,2.0,0.0,0.0,0.29,-62.5,-517.5,3.0,0.67,0.33,0.54,247.33,551.0,4.0,0.75,1.0,0.67,345.75,272.75,4.0,1.0,0.5,1.25,525.0,840.5,10.0,0.8,0.4,4.25,63.4,593.3,3.0,1.0,0.33,1.4,-8.33,-351.67,4.0,0.25,0.6,3.09,-85.75,155.0,3.0,1.0,0.0,3.67,-71.0,-256.67,12.0,0.5,0.23,0.32,-16.25,6.08,4.0,1.0,0.0,0.23,31.5,22.0,0.0,1.0,1.0,1.0,0.0,0.0
LOLTMNT02_57665,10.0,0.2,0.1,0.57,-260.6,-679.6,1.0,1.0,0.0,2.0,-721.0,-565.0,2.0,0.5,1.0,2.5,180.0,131.5,8.0,0.5,0.25,0.29,-121.5,-188.88,13.0,0.38,0.15,0.96,176.46,110.31,9.0,0.44,0.22,1.16,21.44,242.22,7.0,0.29,0.5,0.73,313.14,386.0,5.0,0.2,0.8,1.6,-115.0,-145.6,1.0,0.0,1.0,1.0,461.0,956.0,6.0,0.5,0.0,0.07,-149.33,-376.0,1.0,0.0,1.0,0.0,0.0,0.0
10777-10777_game_3,15.0,0.67,,1.62,,,3.0,0.67,,0.5,,,5.0,0.4,,0.75,,,8.0,0.62,,1.58,,,8.0,0.62,,2.75,,,6.0,0.5,,0.92,,,11.0,0.45,,1.56,,,1.0,1.0,,2.0,,,6.0,0.83,,0.4,,,6.0,0.67,,0.2,,,,0.0,,,,0.0
10812-10812_game_2,8.0,0.5,,0.41,,,3.0,0.33,,0.27,,,2.0,0.5,,3.67,,,2.0,0.5,,0.57,,,4.0,1.0,,4.2,,,2.0,0.5,,1.0,,,8.0,0.88,,2.42,,,3.0,0.33,,1.45,,,5.0,0.8,,0.47,,,1.0,0.0,,0.67,,,,1.0,,,,1.0
10778-10778_game_1,17.0,0.65,,1.06,,,6.0,0.33,,0.4,,,2.0,0.5,,1.17,,,6.0,0.5,,0.86,,,9.0,0.56,,0.4,,,4.0,1.0,,1.2,,,6.0,0.5,,1.06,,,3.0,0.67,,3.2,,,7.0,0.43,,0.18,,,8.0,0.62,,0.23,,,,0.0,,,,0.0
10778-10778_game_2,6.0,0.33,,0.4,,,17.0,0.65,,1.06,,,6.0,0.5,,0.86,,,3.0,0.67,,3.5,,,2.0,0.0,,0.75,,,4.0,0.5,,0.9,,,6.0,0.33,,1.2,,,2.0,1.0,,8.5,,,6.0,0.33,,0.04,,,8.0,0.75,,0.45,,,,0.0,,,,0.0
10778-10778_game_3,17.0,0.65,,1.06,,,6.0,0.33,,0.4,,,4.0,0.5,,1.38,,,2.0,0.0,,1.25,,,10.0,0.5,,0.64,,,2.0,0.0,,0.75,,,9.0,0.56,,1.95,,,6.0,0.33,,1.2,,,8.0,0.75,,0.45,,,4.0,0.5,,0.06,,,,1.0,,,,1.0
LOLTMNT02_56897,6.0,0.83,0.67,1.69,215.33,262.0,2.0,0.0,0.5,0.57,416.0,-322.0,4.0,1.0,0.0,1.86,-264.0,-298.5,1.0,0.0,0.5,0.75,405.0,423.0,3.0,0.67,1.33,1.88,244.33,66.33,2.0,0.0,0.67,0.4,-267.0,-603.5,5.0,0.6,0.71,1.07,-855.0,-1240.8,1.0,0.0,0.0,0.0,767.0,1301.0,1.0,1.0,1.0,5.0,1205.0,1916.0,4.0,0.0,0.0,0.16,-573.0,-985.75,1.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT02_57862,4.0,0.75,0.25,1.18,-216.5,-124.5,2.0,1.0,0.0,0.67,631.0,587.5,2.0,0.5,0.0,0.0,-33.5,-345.5,2.0,0.5,0.5,0.6,273.0,315.0,7.0,0.43,0.29,1.47,-77.57,88.43,2.0,1.0,1.0,0.75,455.5,1213.0,6.0,0.67,1.14,2.22,177.17,-88.0,2.0,1.0,1.0,7.67,26.5,602.5,7.0,0.57,0.29,0.19,121.29,64.43,5.0,0.8,0.0,0.08,-197.2,-294.4,0.0,0.0,1.0,0.0,1.0,0.0
