gameid,Bluetopgp,Bluetopwr,Bluetopkda10,Bluetopkda15,Bluetopgolddiffat10,Bluetopgolddiffat15,Redtopgp,Redtopwr,Redtopkda10,Redtopkda15,Redtopgolddiffat10,Redtopgolddiffat15,Bluejnggp,Bluejngwr,Bluejngkda10,Bluejngkda15,Bluejnggolddiffat10,Bluejnggolddiffat15,Redjnggp,Redjngwr,Redjngkda10,Redjngkda15,Redjnggolddiffat10,Redjnggolddiffat15,Bluemidgp,Bluemidwr,Bluemidkda10,Bluemidkda15,Bluemidgolddiffat10,Bluemidgolddiffat15,Redmidgp,Redmidwr,Redmidkda10,Redmidkda15,Redmidgolddiffat10,Redmidgolddiffat15,Bluebotgp,Bluebotwr,Bluebotkda10,Bluebotkda15,Bluebotgolddiffat10,Bluebotgolddiffat15,Redbotgp,Redbotwr,Redbotkda10,Redbotkda15,Redbotgolddiffat10,Redbotgolddiffat15,Bluesupgp,Bluesupwr,Bluesupkda10,Bluesupkda15,Bluesupgolddiffat10,Bluesupgolddiffat15,Redsupgp,Redsupwr,Redsupkda10,Redsupkda15,Redsupgolddiffat10,Redsupgolddiffat15,firsttower,firstblood,firstherald,firstbaron,firstdragon,result
10660-10660_game_1,8.0,0.38,,1.62,,,4.0,0.5,,1.67,,,7.0,0.57,,0.1,,,4.0,0.25,,0.15,,,6.0,0.0,,0.71,,,3.0,0.67,,2.2,,,5.0,0.2,,0.67,,,11.0,0.36,,1.07,,,1.0,0.0,,0.0,,,6.0,0.67,,0.29,,,,0.0,,,,0.0
10660-10660_game_2,1.0,0.0,,0.67,,,5.0,0.6,,2.75,,,4.0,0.5,,1.0,,,3.0,1.0,,0.86,,,5.0,0.2,,0.68,,,3.0,0.67,,2.2,,,10.0,0.6,,1.65,,,8.0,0.38,,1.17,,,2.0,0.5,,0.0,,,6.0,0.5,,0.13,,,,0.0,,,,0.0
10660-10660_game_3,4.0,0.25,,2.0,,,15.0,0.13,,0.6,,,4.0,0.5,,1.0,,,3.0,0.0,,0.07,,,5.0,0.2,,0.68,,,5.0,0.0,,0.5,,,3.0,0.33,,1.0,,,8.0,0.38,,1.17,,,1.0,1.0,,1.0,,,6.0,0.67,,0.29,,,,1.0,,,,1.0
10660-10660_game_4,4.0,0.5,,1.67,,,8.0,0.38,,1.62,,,3.0,1.0,,0.86,,,1.0,0.0,,0.25,,,4.0,0.75,,2.33,,,6.0,0.0,,0.71,,,4.0,0.25,,0.92,,,5.0,0.2,,0.67,,,6.0,0.67,,0.29,,,1.0,0.0,,1.0,,,,1.0,,,,1.0
10661-10661_game_1,5.0,0.6,,1.09,,,15.0,0.67,,1.62,,,11.0,0.45,,0.92,,,15.0,0.53,,1.02,,,10.0,0.9,,2.17,,,3.0,0.0,,1.1,,,15.0,0.73,,2.5,,,13.0,0.77,,1.32,,,10.0,0.5,,0.13,,,5.0,0.4,,0.42,,,,1.0,,,,1.0
10661-10661_game_2,5.0,1.0,,5.0,,,1.0,0.0,,0.33,,,4.0,0.75,,1.4,,,6.0,0.5,,0.79,,,1.0,1.0,,1.5,,,3.0,0.33,,1.11,,,13.0,0.77,,1.32,,,7.0,0.71,,2.46,,,5.0,0.4,,0.42,,,9.0,0.89,,0.38,,,,0.0,,,,1.0
10661-10661_game_3,6.0,1.0,,3.0,,,15.0,0.67,,1.62,,,5.0,1.0,,1.47,,,15.0,0.53,,1.02,,,12.0,0.5,,1.19,,,3.0,0.0,,1.1,,,11.0,0.36,,1.03,,,9.0,0.78,,1.29,,,3.0,0.67,,0.17,,,6.0,0.67,,0.85,,,,1.0,,,,1.0
10661-10661_game_4,3.0,0.33,,1.4,,,5.0,0.6,,1.09,,,2.0,1.0,,3.5,,,2.0,0.5,,1.0,,,8.0,0.62,,2.75,,,12.0,0.5,,1.19,,,13.0,0.77,,1.32,,,11.0,0.36,,1.03,,,9.0,0.89,,0.33,,,4.0,0.25,,0.0,,,,1.0,,,,1.0
10661-10661_game_5,6.0,1.0,,3.0,,,3.0,0.33,,0.58,,,11.0,0.45,,0.92,,,15.0,0.53,,1.02,,,12.0,0.5,,1.19,,,1.0,0.0,,0.29,,,13.0,0.77,,2.16,,,5.0,0.6,,1.55,,,10.0,0.9,,0.24,,,5.0,0.4,,0.42,,,,0.0,,,,1.0
10662-10662_game_1,5.0,0.2,,0.5,,,6.0,0.83,,1.08,,,4.0,0.5,,1.1,,,1.0,1.0,,2.0,,,6.0,0.33,,1.54,,,3.0,0.67,,1.88,,,4.0,0.0,,0.4,,,8.0,1.0,,3.13,,,2.0,0.0,,0.29,,,7.0,0.86,,0.71,,,,0.0,,,,0.0
10662-10662_game_2,12.0,0.42,,0.72,,,9.0,0.78,,1.35,,,1.0,0.0,,0.75,,,8.0,0.88,,2.0,,,1.0,0.0,,0.0,,,5.0,0.6,,1.64,,,6.0,0.17,,0.71,,,4.0,0.5,,2.29,,,6.0,0.33,,0.08,,,4.0,0.5,,0.38,,,,0.0,,,,0.0
10662-10662_game_3,12.0,0.42,,0.72,,,2.0,1.0,,1.33,,,6.0,0.5,,0.94,,,12.0,0.67,,0.86,,,6.0,0.33,,1.54,,,3.0,0.67,,1.88,,,4.0,0.0,,0.4,,,8.0,1.0,,3.13,,,2.0,0.0,,0.29,,,7.0,0.86,,0.71,,,,0.0,,,,0.0
10663-10663_game_1,15.0,0.13,,0.6,,,6.0,1.0,,3.0,,,4.0,0.0,,0.28,,,6.0,0.5,,0.79,,,5.0,0.2,,1.06,,,10.0,0.9,,2.17,,,4.0,0.25,,0.92,,,15.0,0.73,,2.5,,,2.0,0.0,,0.11,,,3.0,0.67,,0.0,,,,1.0,,,,0.0
10663-10663_game_2,15.0,0.13,,0.6,,,6.0,1.0,,3.0,,,1.0,0.0,,1.0,,,6.0,0.5,,0.79,,,5.0,0.0,,0.5,,,3.0,0.33,,1.11,,,11.0,0.36,,1.07,,,1.0,1.0,,2.5,,,7.0,0.43,,0.0,,,2.0,1.0,,0.0,,,,0.0,,,,0.0
10663-10663_game_3,6.0,1.0,,3.0,,,15.0,0.13,,0.6,,,11.0,0.45,,0.92,,,2.0,0.0,,0.8,,,12.0,0.5,,1.19,,,3.0,0.33,,1.43,,,13.0,0.77,,2.16,,,4.0,0.25,,0.92,,,4.0,0.25,,0.0,,,3.0,0.33,,0.21,,,,0.0,,,,1.0
10664-10664_game_1,1.0,0.0,,2.0,,,11.0,0.73,,2.05,,,6.0,0.5,,0.79,,,12.0,0.67,,0.86,,,3.0,0.33,,1.11,,,8.0,1.0,,1.1,,,1.0,0.0,,0.25,,,8.0,0.75,,2.3,,,6.0,0.33,,0.2,,,12.0,0.75,,0.28,,,,0.0,,,,0.0
10664-10664_game_2,6.0,1.0,,1.25,,,1.0,0.0,,0.0,,,5.0,1.0,,4.8,,,11.0,0.45,,0.92,,,8.0,1.0,,7.5,,,1.0,0.0,,0.0,,,4.0,0.75,,1.4,,,15.0,0.73,,2.5,,,12.0,0.75,,0.28,,,6.0,0.33,,0.2,,,,1.0,,,,1.0
10664-10664_game_3,3.0,0.33,,0.3,,,2.0,0.5,,0.88,,,11.0,0.45,,0.92,,,8.0,0.88,,2.0,,,12.0,0.5,,1.19,,,3.0,1.0,,3.5,,,13.0,0.77,,2.16,,,4.0,0.75,,1.4,,,4.0,0.25,,0.0,,,12.0,0.75,,0.28,,,,1.0,,,,0.0
LOLTMNT06_13630,7.0,0.57,0.5,1.0,86.43,-355.71,2.0,0.5,0.0,0.4,-1275.0,-1920.5,1.0,0.0,1.0,1.0,-27.0,-378.0,7.0,0.71,0.62,0.95,-101.0,298.14,1.0,0.0,0.0,0.67,-545.0,279.0,4.0,0.75,0.0,0.8,141.0,-107.25,2.0,0.0,0.67,0.83,235.5,373.0,6.0,0.67,1.0,1.44,268.83,-73.0,1.0,0.0,0.0,0.25,-216.0,-75.0,4.0,1.0,0.25,0.45,294.75,364.75,1.0,1.0,0.0,0.0,0.0,0.0
LOLTMNT06_12701,3.0,0.0,0.33,0.67,297.67,124.67,1.0,1.0,0.0,6.0,197.0,136.0,1.0,0.0,0.0,0.0,-252.0,-342.0,6.0,0.17,0.38,0.43,-226.33,-259.83,3.0,0.33,0.25,0.73,-104.67,91.33,9.0,0.56,0.33,1.13,-42.0,-26.89,3.0,0.33,0.67,2.43,57.67,-168.33,1.0,1.0,0.0,5.0,-212.0,-639.0,4.0,0.25,0.0,0.27,-162.0,-32.25,2.0,0.5,0.0,0.33,120.5,345.0,1.0,0.0,0.0,0.0,1.0,0.0
LOLTMNT06_13667,1.0,0.0,0.0,0.0,-71.0,-175.0,17.0,0.59,0.71,1.35,165.88,318.29,1.0,0.0,0.0,0.43,-583.0,-227.0,8.0,0.62,0.88,0.96,147.0,365.38,4.0,0.25,0.25,0.88,142.25,91.5,1.0,1.0,0.0,1.0,214.0,391.0,2.0,0.0,0.5,1.4,-26.5,182.0,2.0,0.5,0.0,1.14,-805.0,-896.5,1.0,0.0,0.0,0.2,-2.0,-10.0,3.0,0.67,0.25,0.38,248.67,222.33,1.0,0.0,0.0,1.0,1.0,0.0
LOLTMNT06_12743,2.0,0.0,0.0,1.2,-388.5,-770.5,4.0,0.5,0.0,0.78,-219.75,-752.75,10.0,0.7,0.73,0.45,-65.8,-218.5,6.0,0.5,0.67,0.64,84.5,-104.67,3.0,0.33,0.0,1.29,-90.67,367.33,2.0,0.5,0.0,0.67,-71.5,-211.0,3.0,0.33,1.5,1.08,110.33,-41.67,2.0,0.5,1.5,2.14,588.0,768.5,3.0,0.67,0.2,0.38,-221.0,-36.0,2.0,0.5,1.0,0.33,280.5,143.0,1.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT06_13695,4.0,0.5,0.0,0.86,-163.0,-287.75,2.0,0.5,0.0,0.0,86.0,312.0,6.0,0.67,0.83,0.96,-252.67,-238.5,6.0,0.17,0.5,0.55,-220.67,-219.33,2.0,0.5,1.0,2.25,560.0,1722.5,1.0,0.0,0.0,0.0,-907.0,-1820.0,5.0,0.6,0.43,1.86,-484.6,-365.0,1.0,0.0,0.0,0.0,-552.0,-854.0,7.0,0.57,0.14,0.47,28.14,-62.0,1.0,0.0,0.0,0.0,-285.0,-826.0,1.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT06_12814,2.0,0.0,0.0,0.0,-75.0,-88.0,3.0,1.0,0.33,1.5,286.67,390.33,2.0,0.0,0.5,0.29,-147.5,-433.5,1.0,1.0,1.0,4.0,161.0,-273.0,2.0,0.5,0.0,0.67,-71.5,-211.0,8.0,0.62,0.25,1.64,111.38,148.0,3.0,0.33,1.33,1.8,602.33,541.0,10.0,0.5,0.62,1.69,-31.8,-29.4,3.0,0.0,0.67,0.15,106.67,73.0,3.0,0.33,0.33,0.21,-124.33,-528.33,1.0,0.0,0.0,1.0,0.0,0.0
LOLTMNT06_13803,1.0,0.0,1.0,0.67,43.0,147.0,9.0,0.56,0.2,0.81,-20.33,290.67,6.0,0.67,0.83,0.96,-252.67,-238.5,9.0,0.56,0.56,0.56,-127.22,-317.78,2.0,0.5,1.5,1.14,-213.5,-268.0,1.0,1.0,0.0,1.5,208.0,154.0,1.0,0.0,1.0,0.8,-984.0,-348.0,5.0,0.8,1.2,4.57,571.0,1068.2,1.0,0.0,0.0,0.0,53.0,-223.0,7.0,0.57,0.5,0.87,223.29,292.71,0.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT06_12845,2.0,1.0,0.0,4.0,396.5,489.5,1.0,0.0,0.0,0.0,-427.0,-147.0,4.0,0.75,0.8,2.5,-76.0,-86.25,4.0,0.25,0.5,0.36,-106.5,-538.25,5.0,1.0,0.4,2.37,213.4,197.4,3.0,0.33,0.0,0.43,-43.33,-620.0,6.0,0.67,1.0,1.44,268.83,-73.0,2.0,0.0,0.5,1.4,-26.5,182.0,8.0,0.75,0.14,0.11,-191.75,-567.38,1.0,0.0,1.0,1.0,219.0,532.0,0.0,0.0,1.0,1.0,0.0,1.0
LOLTMNT06_13841,17.0,0.59,0.71,1.35,165.88,318.29,2.0,0.0,0.0,1.2,-388.5,-770.5,6.0,0.33,0.83,0.67,126.5,120.5,2.0,0.0,1.0,0.29,234.5,68.0,13.0,0.54,0.43,1.07,153.85,240.85,1.0,0.0,0.0,2.0,-560.0,-2077.0,14.0,0.71,0.44,1.68,-22.57,-41.93,1.0,0.0,1.0,0.25,-251.0,-360.0,7.0,0.86,0.29,0.13,58.29,174.29,1.0,0.0,0.0,0.0,65.0,-137.0,1.0,0.0,1.0,1.0,0.0,1.0
LOLTMNT06_12874,3.0,0.0,0.33,0.67,297.67,124.67,10.0,0.5,0.2,1.29,-338.0,-532.0,2.0,0.0,0.0,0.17,-121.0,-368.5,5.0,0.6,0.2,1.62,-255.4,-188.2,3.0,0.33,0.0,1.33,10.67,-235.0,3.0,0.67,0.33,1.44,-26.33,-143.67,5.0,0.2,0.4,1.42,-164.0,46.2,11.0,0.36,0.45,1.9,111.27,-90.27,1.0,0.0,0.0,0.0,-163.0,-718.0,3.0,0.67,0.0,0.0,226.33,494.33,0.0,0.0,1.0,0.0,0.0,0.0
LOLTMNT02_20319,1.0,1.0,0.0,2.0,889.0,1463.0,10.0,0.4,0.0,0.95,-219.1,-356.5,8.0,0.38,0.88,1.0,109.88,284.75,3.0,0.33,0.75,0.38,-118.67,-496.33,11.0,0.55,0.17,0.97,10.64,-11.55,11.0,0.55,0.18,1.03,-65.55,-163.91,8.0,0.62,0.78,2.17,394.75,645.0,2.0,0.0,1.25,0.67,295.0,-522.0,4.0,0.5,0.0,0.78,71.75,380.75,1.0,0.0,0.0,1.0,-292.0,-685.0,1.0,0.0,1.0,1.0,0.0,1.0
LOLTMNT02_19316,7.0,0.29,0.43,0.88,211.14,8.71,11.0,0.55,0.0,1.0,-206.82,-182.36,10.0,0.6,0.6,1.19,243.2,279.9,8.0,0.38,0.88,1.0,109.88,284.75,4.0,0.5,0.25,2.43,-88.0,12.75,5.0,0.0,0.0,0.79,-125.4,-227.8,4.0,0.5,0.75,1.4,117.25,59.25,4.0,0.25,0.0,0.57,-410.75,-163.25,5.0,0.4,0.0,0.44,125.0,161.6,4.0,0.5,0.0,0.78,71.75,380.75,0.0,0.0,0.0,0.0,1.0,1.0
LOLTMNT02_20354,12.0,0.58,0.08,1.24,-79.5,-95.08,2.0,1.0,0.0,1.4,-203.5,-429.5,4.0,0.5,0.25,0.89,-193.25,-555.5,6.0,0.33,0.5,1.05,129.33,513.17,11.0,0.55,0.17,0.97,10.64,-11.55,11.0,0.55,0.18,1.03,-65.55,-163.91,3.0,0.0,0.25,0.46,-192.67,-157.0,8.0,0.62,0.75,1.31,558.5,660.5,3.0,0.0,0.0,0.0,-381.33,-603.67,7.0,0.43,0.62,0.39,127.71,87.71,0.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT03_30769,2.0,0.5,0.0,0.83,-197.0,-755.0,4.0,0.5,0.0,0.86,-73.0,135.0,4.0,1.0,1.0,5.0,180.75,488.75,1.0,0.0,0.0,0.67,-821.0,-755.0,2.0,1.0,0.5,4.0,395.0,534.0,1.0,0.0,0.0,0.25,-498.0,-894.0,2.0,1.0,1.5,6.5,1034.0,2135.0,4.0,0.0,0.0,0.35,-870.0,-2188.5,1.0,1.0,0.0,1.0,137.0,425.0,1.0,0.0,0.0,0.0,-137.0,-425.0,1.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT02_19357,3.0,1.0,0.0,0.88,-483.0,-320.0,12.0,0.33,0.25,1.08,-50.25,67.58,1.0,1.0,0.0,0.0,-761.0,-670.0,4.0,0.25,0.25,0.36,-126.25,-379.75,14.0,0.57,0.29,1.75,111.57,179.07,2.0,0.5,0.0,1.0,-176.5,-159.5,9.0,0.44,0.3,1.23,237.22,279.78,3.0,0.0,0.75,0.5,-488.33,-1095.33,8.0,0.5,0.12,0.23,129.62,147.5,2.0,0.0,0.0,0.0,-89.5,-142.0,1.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT03_30778,6.0,0.17,0.17,1.0,-61.67,-36.67,2.0,0.0,1.5,0.73,407.0,588.0,4.0,1.0,1.0,5.0,180.75,488.75,4.0,0.5,0.67,0.32,-110.25,-347.0,3.0,0.33,0.5,0.85,-115.0,-104.33,6.0,0.17,0.0,0.37,-274.33,-597.5,2.0,1.0,1.5,6.5,1034.0,2135.0,4.0,0.0,0.0,0.35,-870.0,-2188.5,3.0,1.0,0.0,0.33,74.33,515.0,1.0,0.0,1.0,0.33,-142.0,-690.0,1.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT02_20381,2.0,0.5,0.0,1.17,612.0,518.5,3.0,1.0,0.0,0.88,-483.0,-320.0,3.0,0.33,0.33,0.33,13.33,-330.33,6.0,0.5,0.33,0.29,-268.17,-533.5,1.0,0.0,0.0,1.0,-620.0,-404.0,1.0,1.0,0.0,4.0,620.0,404.0,10.0,0.2,0.36,1.1,-474.0,-811.1,11.0,0.55,0.91,1.83,419.0,1003.45,2.0,0.0,0.0,0.0,-89.5,-142.0,2.0,1.0,0.0,0.25,135.5,-67.5,1.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT03_29854,1.0,1.0,2.0,5.0,33.0,1128.0,1.0,0.0,0.5,0.57,-33.0,-1128.0,2.0,0.5,0.0,2.5,335.5,751.0,1.0,0.0,0.0,0.0,-395.0,-1466.0,1.0,1.0,0.0,5.0,501.0,1889.0,4.0,0.0,0.0,0.41,-388.0,-1056.5,5.0,0.6,0.6,1.2,245.6,256.6,1.0,0.0,0.0,0.6,-1135.0,-758.0,5.0,0.8,0.17,0.24,55.0,185.4,1.0,0.0,0.0,0.17,-778.0,-986.0,1.0,1.0,1.0,1.0,1.0,1.0
LOLTMNT03_29858,1.0,0.0,0.0,1.6,137.0,718.0,7.0,0.86,0.0,1.78,-138.71,36.43,1.0,0.0,1.0,0.33,692.0,-51.0,3.0,1.0,1.0,2.6,345.0,690.67,5.0,0.2,0.17,1.0,-445.6,-410.6,5.0,0.6,0.2,1.69,580.0,793.4,4.0,0.75,1.0,4.57,183.5,982.75,5.0,0.6,0.6,1.2,245.6,256.6,1.0,0.0,0.0,0.0,-93.0,-26.0,2.0,1.0,0.0,0.33,159.5,127.0,0.0,0.0,0.0,1.0,0.0,0.0
LOLTMNT02_19363,14.0,0.71,0.33,1.88,-277.71,-194.93,3.0,0.33,0.25,0.86,250.0,-96.0,11.0,0.82,0.46,1.16,140.45,439.0,6.0,0.67,0.5,1.23,40.67,-158.33,2.0,0.5,0.5,3.67,8.0,-9.5,1.0,0.0,0.0,0.0,393.0,672.0,15.0,0.6,0.93,2.67,298.4,729.13,4.0,0.0,0.0,0.73,-174.25,-802.0,8.0,0.75,0.25,0.52,-103.38,32.62,5.0,0.2,0.0,0.29,-39.6,-189.0,0.0,0.0,1.0,0.0,1.0,1.0
LOLTMNT02_20412,2.0,0.5,0.0,0.25,406.0,444.5,16.0,0.62,0.29,0.8,-206.12,-363.19,6.0,0.33,0.5,0.33,-59.0,-131.0,8.0,0.38,1.2,0.87,402.25,650.0,3.0,0.0,0.0,0.44,-217.67,-664.67,1.0,1.0,1.0,2.0,547.0,1480.0,3.0,0.67,0.0,3.0,-577.0,-1779.67,2.0,1.0,1.5,4.33,-576.0,271.0,2.0,0.0,0.0,0.25,176.5,-29.0,2.0,0.5,0.0,0.4,20.0,444.5,0.0,0.0,1.0,0.0,1.0,0.0
LOLTMNT06_13896,3.0,0.33,0.33,2.0,560.33,659.0,2.0,1.0,0.0,1.33,-783.0,-636.5,1.0,0.0,1.0,0.17,758.0,977.0,14.0,0.71,0.44,1.5,-168.36,97.86,7.0,0.57,0.38,0.96,78.71,71.71,16.0,0.56,0.33,1.31,23.38,-101.62,9.0,0.44,0.7,1.25,-56.67,286.67,3.0,1.0,0.33,1.2,34.67,47.0,10.0,0.5,0.0,0.12,-3.1,22.0,1.0,1.0,0.0,2.0,197.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT06_13904,2.0,0.5,0.5,2.0,321.0,666.0,3.0,0.33,0.0,0.2,-267.33,-476.67,1.0,0.0,0.0,0.25,45.0,709.0,4.0,0.25,0.25,0.46,50.0,-67.25,4.0,0.75,0.0,0.8,141.0,-107.25,3.0,0.33,0.0,1.33,10.67,-235.0,6.0,0.67,1.0,1.44,268.83,-73.0,3.0,0.33,0.67,2.43,57.67,-168.33,3.0,0.33,0.17,0.18,-71.0,-203.0,4.0,0.25,0.0,0.27,-162.0,-32.25,1.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT06_12924,3.0,0.67,0.0,0.44,-277.0,313.67,4.0,0.5,0.0,0.78,-219.75,-752.75,5.0,0.6,0.2,1.62,-255.4,-188.2,8.0,0.0,0.33,0.29,66.62,61.25,3.0,0.67,0.33,1.44,-26.33,-143.67,6.0,0.17,0.0,0.5,-334.67,-663.0,11.0,0.36,0.45,1.9,111.27,-90.27,2.0,0.5,0.0,1.0,-375.5,-899.0,3.0,0.67,0.0,0.0,226.33,494.33,7.0,0.43,0.0,0.2,-20.86,-131.86,1.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT06_13954,1.0,0.0,0.0,0.2,-600.0,-935.0,3.0,1.0,0.67,2.0,510.0,575.33,3.0,0.33,1.0,1.0,297.33,388.0,3.0,1.0,0.33,0.5,-94.33,-163.33,4.0,0.25,0.25,0.88,142.25,91.5,4.0,0.25,0.4,0.64,256.25,162.0,1.0,0.0,1.0,2.0,338.0,925.0,5.0,0.6,0.43,1.86,-484.6,-365.0,1.0,0.0,0.0,0.5,372.0,768.0,7.0,0.57,0.14,0.47,28.14,-62.0,1.0,0.0,0.0,0.0,0.0,0.0
LOLTMNT06_12963,2.0,0.5,1.0,1.0,431.5,1084.5,2.0,0.0,0.33,0.44,506.5,91.0,9.0,0.56,0.56,0.56,-127.22,-317.78,3.0,0.33,0.25,0.25,-32.33,57.33,3.0,0.67,0.67,1.62,82.67,703.67,13.0,0.54,0.43,1.07,153.85,240.85,4.0,0.5,1.25,2.0,291.25,553.5,7.0,0.57,1.38,2.22,-0.57,576.14,7.0,0.57,0.5,0.87,223.29,292.71,5.0,0.6,0.6,0.37,251.8,281.4,1.0,1.0,1.0,1.0,1.0,1.0
LOLTMNT03_31006,2.0,1.0,0.0,1.5,-360.0,211.5,2.0,0.0,1.0,1.17,360.0,-211.5,5.0,0.8,1.2,1.77,351.4,661.2,1.0,0.0,0.0,0.33,-877.0,-758.0,1.0,1.0,0.0,8.0,213.0,1108.0,3.0,0.33,0.0,1.0,-413.0,-1267.0,6.0,0.67,1.71,2.41,904.0,1683.33,4.0,0.25,0.33,0.39,-75.25,87.25,5.0,0.4,0.57,0.38,227.0,110.4,1.0,0.0,0.33,0.12,-790.0,-958.0,1.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT03_31018,2.0,1.0,0.0,1.5,-360.0,211.5,2.0,0.0,1.0,1.17,360.0,-211.5,5.0,0.8,1.2,1.77,351.4,661.2,1.0,0.0,0.0,0.0,-10.0,-1064.0,3.0,0.67,0.0,2.11,257.67,266.0,3.0,0.33,0.0,1.0,-413.0,-1267.0,2.0,1.0,0.5,2.0,469.0,1067.0,3.0,0.0,0.5,0.45,310.67,450.33,5.0,0.4,0.57,0.38,227.0,110.4,3.0,0.33,0.67,0.54,213.33,50.0,1.0,0.0,1.0,1.0,1.0,1.0
LOLTMNT02_19707,21.0,0.62,0.29,1.54,25.62,119.05,2.0,0.5,0.0,1.17,214.5,-56.5,5.0,0.4,0.6,0.4,176.2,-241.4,12.0,0.83,0.92,2.18,134.42,337.67,14.0,0.71,0.36,1.96,73.07,-60.79,3.0,0.33,0.33,1.2,-224.33,-389.33,1.0,1.0,0.0,1.5,-132.0,-742.0,9.0,0.56,0.4,2.85,-147.44,-199.44,3.0,1.0,0.0,0.22,-654.0,-854.33,10.0,0.8,0.2,0.29,-106.1,-35.9,0.0,0.0,1.0,1.0,0.0,1.0
LOLTMNT02_19725,7.0,0.86,0.33,1.11,163.29,251.29,21.0,0.62,0.29,1.54,25.62,119.05,1.0,1.0,0.0,0.0,-257.0,-340.0,4.0,0.5,0.25,0.5,302.5,457.75,9.0,0.56,0.09,0.85,-331.44,-316.33,2.0,0.0,0.5,1.0,136.0,-254.0,4.0,0.75,0.0,2.4,-167.0,-152.5,13.0,0.85,0.62,2.9,-108.77,-337.15,10.0,0.8,0.2,0.29,-106.1,-35.9,1.0,0.0,0.0,0.0,-131.0,-203.0,1.0,1.0,1.0,1.0,0.0,1.0
LOLTMNT02_19742,21.0,0.62,0.29,1.54,25.62,119.05,7.0,0.86,0.33,1.11,163.29,251.29,1.0,1.0,1.0,3.0,-319.0,-186.0,4.0,0.0,0.25,0.32,-104.75,-141.25,14.0,0.71,0.36,1.96,73.07,-60.79,6.0,0.5,0.5,0.9,-47.83,-401.83,13.0,0.85,0.62,2.9,-108.77,-337.15,19.0,0.68,0.26,1.25,-297.42,-327.47,15.0,0.67,0.2,0.39,12.13,34.4,12.0,0.5,0.23,0.29,-27.33,-35.33,0.0,0.0,1.0,1.0,0.0,1.0
LOLTMNT02_19822,6.0,0.5,0.43,1.0,407.67,509.33,10.0,0.2,0.1,0.57,-260.6,-679.6,5.0,0.2,0.2,0.53,-87.4,-55.2,9.0,0.67,0.56,1.94,168.78,13.67,13.0,0.62,0.0,1.09,-298.69,-421.08,13.0,0.38,0.15,0.96,176.46,110.31,5.0,0.2,0.2,0.61,46.8,-721.8,2.0,1.0,1.0,2.0,591.0,847.5,9.0,0.56,0.3,0.33,-145.44,-284.56,7.0,0.71,0.57,3.44,530.43,1144.86,0.0,0.0,1.0,0.0,1.0,0.0
LOLTMNT02_20920,6.0,0.5,0.43,1.0,407.67,509.33,10.0,0.2,0.1,0.57,-260.6,-679.6,5.0,0.2,0.2,0.53,-87.4,-55.2,9.0,0.67,0.56,1.94,168.78,13.67,13.0,0.62,0.0,1.09,-298.69,-421.08,5.0,0.6,1.0,1.5,217.6,225.0,4.0,0.25,0.25,1.0,148.25,264.0,2.0,0.0,0.0,2.33,-541.0,-559.0,2.0,0.5,0.0,0.09,64.5,137.0,2.0,0.0,0.0,0.67,193.0,616.0,1.0,0.0,0.0,1.0,0.0,1.0
LOLTMNT02_19905,10.0,0.2,0.1,0.57,-260.6,-679.6,9.0,0.67,0.11,0.48,121.89,62.11,3.0,0.0,0.0,0.64,15.33,139.67,3.0,0.67,1.0,1.0,153.67,194.33,5.0,0.6,1.0,1.5,217.6,225.0,7.0,0.43,0.29,0.91,309.71,699.29,3.0,0.0,0.33,0.9,-373.0,-1050.67,4.0,0.5,1.0,0.93,597.25,636.25,2.0,0.0,1.0,0.62,147.0,232.5,9.0,0.56,0.3,0.33,-145.44,-284.56,0.0,1.0,1.0,1.0,0.0,0.0
LOLTMNT04_19084,1.0,0.0,0.0,0.25,225.0,459.0,3.0,0.33,0.33,0.71,-70.67,-260.33,3.0,0.0,0.0,0.27,-155.33,-341.0,3.0,0.33,0.0,0.42,-323.33,-638.0,3.0,0.0,0.33,1.0,-157.0,-403.67,4.0,0.5,0.25,2.0,93.5,154.25,2.0,0.0,1.5,0.91,662.0,1077.0,2.0,0.5,0.0,0.86,-1189.5,-1779.5,2.0,0.0,0.0,0.11,-27.0,371.0,1.0,1.0,0.0,1.0,-343.0,-493.0,0.0,0.0,1.0,0.0,0.0,0.0
