gameid,side,position,teamname,teamid,result,firstblood,team kpm,firstdragon,firstherald,firstbaron,firsttower
LOLTMNT06_12743,Blue,team,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,0.0,0.5499,0.0,0.0,0.0,1.0
LOLTMNT06_12743,Red,team,GiantX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,1,1.0,0.7332,1.0,1.0,1.0,0.0
LOLTMNT06_13695,Blue,team,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,1.0,0.6156,1.0,1.0,1.0,1.0
LOLTMNT06_13695,Red,team,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,0,0.0,0.0362,0.0,0.0,0.0,0.0
LOLTMNT06_12814,Blue,team,GiantX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,0.0,0.253,0.0,0.0,1.0,1.0
LOLTMNT06_12814,Red,team,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,1.0,0.3936,1.0,1.0,0.0,0.0
LOLTMNT06_13803,Blue,team,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,0,0.0,0.2271,0.0,0.0,0.0,0.0
LOLTMNT06_13803,Red,team,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,1.0,0.7139,1.0,1.0,1.0,1.0
LOLTMNT06_12845,Blue,team,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,1,0.0,0.4675,0.0,1.0,1.0,0.0
LOLTMNT06_12845,Red,team,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,1.0,0.4364,1.0,0.0,0.0,1.0
LOLTMNT06_13841,Blue,team,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,1,1.0,0.4043,0.0,1.0,1.0,1.0
LOLTMNT06_13841,Red,team,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,0.0,0.1684,1.0,0.0,0.0,0.0
LOLTMNT06_12874,Blue,team,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,0,0.0,0.0633,0.0,1.0,0.0,0.0
LOLTMNT06_12874,Red,team,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,1.0,0.4747,1.0,0.0,1.0,1.0
LOLTMNT02_20319,Blue,team,DRX Challengers,oe:team:55b3d6b2c940afa4e24978c55dfea27,1,1.0,0.7338,0.0,1.0,1.0,1.0
LOLTMNT02_20319,Red,team,FearX Youth,oe:team:1c549aec787136db0efdfac47eba51b,0,0.0,0.3145,1.0,0.0,0.0,0.0
LOLTMNT02_19316,Blue,team,FearX Youth,oe:team:1c549aec787136db0efdfac47eba51b,1,1.0,0.6197,1.0,0.0,0.0,0.0
LOLTMNT02_19316,Red,team,DRX Challengers,oe:team:55b3d6b2c940afa4e24978c55dfea27,0,0.0,0.2254,0.0,1.0,1.0,1.0
LOLTMNT02_20354,Blue,team,DRX Challengers,oe:team:55b3d6b2c940afa4e24978c55dfea27,0,1.0,0.4483,0.0,0.0,0.0,0.0
LOLTMNT02_20354,Red,team,FearX Youth,oe:team:1c549aec787136db0efdfac47eba51b,1,0.0,0.9714,1.0,1.0,1.0,1.0
LOLTMNT03_30769,Blue,team,ION Global Esports,oe:team:788b5f2d3941c1a0d7961eaf043e4f1,1,1.0,0.6751,1.0,1.0,1.0,1.0
LOLTMNT03_30769,Red,team,FURY Global,oe:team:6b379ef5d9ba6269ee1ec9e37f54cb7,0,0.0,0.1969,0.0,0.0,0.0,0.0
LOLTMNT02_19357,Blue,team,Nongshim Esports Academy,oe:team:7c64febcd5ccff13dcd035dc6867a00,1,0.0,0.3766,1.0,1.0,1.0,1.0
LOLTMNT02_19357,Red,team,Gen.G Global Academy,oe:team:4c9dd0212552afe76315b616b7891f5,0,1.0,0.226,0.0,0.0,0.0,0.0
LOLTMNT03_30778,Blue,team,ION Global Esports,oe:team:788b5f2d3941c1a0d7961eaf043e4f1,1,1.0,1.232,1.0,1.0,1.0,1.0
LOLTMNT03_30778,Red,team,FURY Global,oe:team:6b379ef5d9ba6269ee1ec9e37f54cb7,0,0.0,0.2464,0.0,0.0,0.0,0.0
LOLTMNT02_20381,Blue,team,Gen.G Global Academy,oe:team:4c9dd0212552afe76315b616b7891f5,0,0.0,0.1106,0.0,0.0,0.0,1.0
LOLTMNT02_20381,Red,team,Nongshim Esports Academy,oe:team:7c64febcd5ccff13dcd035dc6867a00,1,1.0,0.4423,1.0,1.0,1.0,0.0
LOLTMNT03_29854,Blue,team,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,1,1.0,1.2262,1.0,1.0,1.0,1.0
LOLTMNT03_29854,Red,team,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,0,0.0,0.3805,0.0,0.0,0.0,0.0
LOLTMNT03_29858,Blue,team,Dire Wolves,oe:team:cd6e0eea04af23b9c0735dab41a9941,0,1.0,0.4444,0.0,0.0,1.0,0.0
LOLTMNT03_29858,Red,team,Team Bliss,oe:team:0b27fc98592297c4441bce44760a642,1,0.0,0.4722,1.0,1.0,0.0,1.0
LOLTMNT02_19363,Blue,team,KT Rolster Challengers,oe:team:b9733b8e8aa341319bbaf1035198a28,1,0.0,0.4047,1.0,1.0,0.0,0.0
LOLTMNT02_19363,Red,team,OKSavingsBank BRION Challengers,oe:team:5d069a5aeb88f79b4b92dfa2b9f2a3c,0,1.0,0.2556,0.0,0.0,1.0,1.0
LOLTMNT02_20412,Blue,team,OKSavingsBank BRION Challengers,oe:team:5d069a5aeb88f79b4b92dfa2b9f2a3c,0,0.0,0.0675,1.0,1.0,0.0,0.0
LOLTMNT02_20412,Red,team,KT Rolster Challengers,oe:team:b9733b8e8aa341319bbaf1035198a28,1,1.0,0.4727,0.0,0.0,1.0,1.0
LOLTMNT06_13896,Blue,team,Team Vitality,oe:team:e8d8ae992fe72acb7adc7bfcee31dbb,0,1.0,0.3388,0.0,0.0,0.0,0.0
LOLTMNT06_13896,Red,team,Team BDS,oe:team:7338408a0fe0217451d2c9a567db999,1,0.0,0.847,1.0,1.0,1.0,1.0
LOLTMNT06_13904,Blue,team,G2 Esports,oe:team:7d6673d3a9d00363c6bebc1a630da6e,0,0.0,0.1593,0.0,0.0,0.0,1.0
LOLTMNT06_13904,Red,team,Rogue,oe:team:cd62e47544f14f1d239afa659b9d243,1,1.0,0.5575,1.0,1.0,1.0,0.0
LOLTMNT06_12924,Blue,team,Team Heretics,oe:team:1285e1c04d54de96502f12da4d49458,1,1.0,0.4114,1.0,1.0,1.0,1.0
LOLTMNT06_12924,Red,team,GiantX,oe:team:6cd05f0ac20bfb965a59dc8bcc4f184,0,0.0,0.1763,0.0,0.0,0.0,0.0
LOLTMNT06_13954,Blue,team,Karmine Corp,oe:team:f3aa9bbd924ce3af42ac53f8326bc7c,0,1.0,0.3526,0.0,0.0,0.0,1.0
LOLTMNT06_13954,Red,team,MAD Lions KOI,oe:team:6a0084dacefb228be863fbb64cefe11,1,0.0,0.5877,1.0,1.0,1.0,0.0
LOLTMNT06_12963,Blue,team,SK Gaming,oe:team:75760dca486d4682426196b76bd1a54,1,1.0,0.5039,1.0,1.0,1.0,1.0
LOLTMNT06_12963,Red,team,Fnatic,oe:team:78f183fa5a7d8ecb22b9ad272c3abd7,0,0.0,0.1575,0.0,0.0,0.0,0.0
LOLTMNT03_31006,Blue,team,Ground Zero Gaming,oe:team:788115a84f68bc65fa6d3a4e0f67a3e,1,1.0,0.8736,1.0,1.0,1.0,1.0
LOLTMNT03_31006,Red,team,Kanga Esports,oe:team:40ca71047541a6edbbb6e29893f9058,0,0.0,0.4368,0.0,0.0,0.0,0.0
LOLTMNT03_31018,Blue,team,Ground Zero Gaming,oe:team:788115a84f68bc65fa6d3a4e0f67a3e,1,1.0,0.6623,1.0,1.0,1.0,1.0
LOLTMNT03_31018,Red,team,Kanga Esports,oe:team:40ca71047541a6edbbb6e29893f9058,0,0.0,0.298,0.0,0.0,0.0,0.0
LOLTMNT02_19707,Blue,team,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,1,1.0,0.4659,0.0,1.0,1.0,0.0
LOLTMNT02_19707,Red,team,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,0,0.0,0.4414,1.0,0.0,0.0,1.0
LOLTMNT02_19725,Blue,team,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,1,1.0,0.2303,0.0,1.0,1.0,1.0
LOLTMNT02_19725,Red,team,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,0,0.0,0.1279,1.0,0.0,0.0,0.0
LOLTMNT02_19742,Blue,team,Hanwha Life Esports Challengers,oe:team:2a5e5fceaa40b335ebc6b49359abf62,1,0.0,0.4548,0.0,1.0,1.0,0.0
LOLTMNT02_19742,Red,team,Dplus KIA Challengers,oe:team:2d26f8190f9d5cd2e0cb2232d9b7481,0,1.0,0.1624,1.0,0.0,0.0,1.0
LOLTMNT02_19822,Blue,team,Kwangdong Freecs Challengers,oe:team:ce666ec5e91131390b04ed14a858cb1,0,0.0,0.139,1.0,1.0,0.0,0.0
LOLTMNT02_19822,Red,team,T1 Esports Academy,oe:team:731b7a9fd004cdbe2bcb3da795bce47,1,1.0,0.3824,0.0,0.0,0.0,1.0
LOLTMNT02_20920,Blue,team,Kwangdong Freecs Challengers,oe:team:ce666ec5e91131390b04ed14a858cb1,1,0.0,0.2701,0.0,0.0,1.0,1.0
LOLTMNT02_20920,Red,team,T1 Esports Academy,oe:team:731b7a9fd004cdbe2bcb3da795bce47,0,1.0,0.4951,1.0,1.0,0.0,0.0
LOLTMNT02_19905,Blue,team,T1 Esports Academy,oe:team:731b7a9fd004cdbe2bcb3da795bce47,0,1.0,0.4793,0.0,1.0,1.0,0.0
LOLTMNT02_19905,Red,team,Kwangdong Freecs Challengers,oe:team:ce666ec5e91131390b04ed14a858cb1,1,0.0,0.2996,1.0,0.0,0.0,1.0
LOLTMNT04_19084,Blue,team,GRP Esports,oe:team:2d038b581c7aa5565f197e93de4ff35,0,1.0,0.1224,0.0,1.0,0.0,0.0
LOLTMNT04_19084,Red,team,Forsaken,oe:team:9e12a15ab90a0a26c7e4e5308d3924c,1,0.0,0.4592,1.0,0.0,1.0,1.0
LOLTMNT01_32044,Blue,team,devils.one,oe:team:f27741afb3044c971eeced9d0c2daa1,1,1.0,0.3866,0.0,1.0,0.0,1.0
LOLTMNT01_32044,Red,team,Team ESCA Gaming,oe:team:1158ec5b08f516ca81868bc48293989,0,0.0,0.0,1.0,0.0,0.0,0.0
LOLTMNT01_31121,Blue,team,Orbit Anonymo Esports,oe:team:f9f16e15a84c85d050aa09b4a21c757,1,1.0,0.4267,0.0,1.0,1.0,1.0
LOLTMNT01_31121,Red,team,Iron Wolves,oe:team:bc9bdf946d79f2f1f483b429a7dfffc,0,0.0,0.2845,1.0,0.0,0.0,0.0
LOLTMNT01_31134,Blue,team,Zero Tenacity,oe:team:125fc4d6b0dc1b21596f4f06a207d62,1,1.0,0.3988,0.0,1.0,0.0,0.0
LOLTMNT01_31134,Red,team,Back2TheGame,oe:team:544b70d08c7df83ccb74d08a677b902,0,0.0,0.1534,1.0,0.0,0.0,1.0
